"TIV of arms exports to Argentina, 1950-2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generated: 24 July 2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figures are SIPRI Trend Indicator Values (TIVs) expressed in US$ m. at constant (1990) prices.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figures may not add up due to the conventions of rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A '0' indicates that the value of deliveries is less than US$0.5m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"For more information, see http://www.sipri.org/databases/armstransfers/background",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: SIPRI Arms Transfers Database,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Total
,Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,32,,40,,,,,8,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,115
,Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,Brazil,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,10,12,,,,25,25,,,,,,,,,,,,,,,,,,,1,,,,,,,,,85
,Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
,Canada,,,,,,,,,,,,,,,0,1,1,,13,10,,,,,,,,,,,,,,,,,,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,43
,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1
,France,,,,,,,1,,4,14,14,14,16,14,14,,32,,,61,42,17,69,101,5,9,19,26,197,107,107,199,146,105,45,7,28,,,,,,,,,3,18,,,60,,,,,,,,,,,,,,,,11,1505
,Germany (FRG),,,,,,,,,,,,,,,,,,,,,3,3,,2,358,,5,,,9,25,89,106,828,526,403,165,133,3,,130,,,,161,7,,18,25,,130,,,,130,,,,,,,,,2,2,,3259
,Israel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,50,50,51,68,45,,,,,,,,,,,,3,,3,1,4,3,,3,,,,,,,,,,,,,,309
,Italy,5,,,,,,,,,,,,,,,,,,,14,5,19,19,,5,,6,47,13,23,64,13,13,72,63,18,16,37,31,3,10,,,,,2,2,,6,6,9,,,,8,,,,,,,,,,6,,530
,Netherlands,,,,,,,,,,,,,,,,,,,277,54,,17,,,12,,,,113,18,5,13,,95,26,13,13,13,,,13,,,,,,,,,,13,,,,13,,,,,,,,,,,,705
,Peru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53
,Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,14,,,,,15
,Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,90,,,,,,8,,,,,,,,,,,,,,,,,,5,7,3,3,,,,,,139
,Sweden,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,Switzerland,,,,,,,,,,,,,,,,,,,,30,,,,,1,2,2,2,2,111,113,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,373
,United Kingdom,,,,,,,,,,120,,,,,,2,,,44,22,41,70,,,,,305,3,23,6,7,308,,45,15,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,1010
,United States,70,445,38,4,5,0,39,14,66,32,89,178,32,4,4,4,62,129,91,32,163,244,311,133,68,135,160,98,147,94,75,36,4,28,10,10,,8,4,4,14,,27,14,48,28,9,82,140,197,59,6,13,12,18,3,9,15,16,13,9,32,36,38,6,12,3926
,Unknown country,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,75,445,38,4,5,0,39,14,70,166,103,205,48,19,19,7,95,129,425,223,253,369,399,236,450,147,498,176,557,451,445,856,421,1322,687,450,229,224,71,14,166,,27,14,209,43,28,105,172,267,213,6,16,12,168,3,9,24,23,16,14,46,36,44,14,23,12080
