"TIV of arms exports to Australia, 1950-2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generated: 24 July 2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figures are SIPRI Trend Indicator Values (TIVs) expressed in US$ m. at constant (1990) prices.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figures may not add up due to the conventions of rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A '0' indicates that the value of deliveries is less than US$0.5m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"For more information, see http://www.sipri.org/databases/armstransfers/background",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: SIPRI Arms Transfers Database,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Total
,Canada,,,,1,,0,,1,,,0,0,,23,23,23,26,,8,4,,4,,,,,,,,,,,,36,,,,3,5,7,11,14,,,8,27,22,,,,,,1,30,38,18,,,,,,,,,,,332
,France,,,,,,,,,,,,,,25,287,282,282,250,148,,,,,45,22,,,,,,,2,25,25,16,1,150,,,,,,,,,,20,,20,15,,35,5,20,28,51,40,42,68,77,40,62,60,75,83,94,2393
,Germany (FRG),,,,,,,,,,,,,,,,,,,,,,,,,,,53,66,125,,,,,,,,,,,,,,,,,,251,,251,,,251,251,251,251,251,251,1,32,13,35,29,14,,7,9,2394
,Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,30,29,25,25,23,,25,25,13,,210
,Israel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,20,,,,,,,,,,15,13,13,5,18,19,,50,20,,,,,,192
,Italy,,,,,,,,,,,9,,,,,,,,42,38,42,46,36,,,,,,,,,,,,,,,,2,2,2,2,2,,,,,,,115,58,58,115,,,,,3,,,,,,,,80,653
,Netherlands,,,,,,,,,,,,,,14,7,7,,,7,26,,19,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99
,New Zealand,,,,,,,,,,,,,,,,,,,1,,,,,,2,3,,,,,,1,2,,,,,,,,,34,,,,,,,,,,,,,,,,,,,,,,,,,42
,Norway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,24,23,,,,3,,,,,26,,,,92
,South Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0
,South Korea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,30
,Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,392,98,,479,479,1447
,Sweden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,253,,253,245,,498,8,256,11,11,11,3,,,,,15,8,8,8,1591
,Switzerland,,,,,,,,,,,,,,,,,,,5,2,,2,,,,,,,,,,,,,,,,7,11,17,25,34,,,,,,,,,,,,,,,,,,,,,,,,,102
,United Kingdom,462,344,308,151,125,627,391,369,344,199,51,1,373,297,166,1,3,80,117,411,8,9,7,17,62,50,,80,115,50,62,132,42,84,54,5,5,9,4,37,15,15,15,,,,6,,,12,87,291,137,45,17,8,,,,,,80,49,,17,2,6450
,United States,,21,100,,,10,60,75,190,213,52,38,198,24,45,588,383,428,118,347,189,229,17,620,797,43,28,122,779,141,341,315,63,489,556,508,664,565,698,629,299,94,328,449,254,38,45,35,18,286,194,87,106,165,114,101,348,574,320,610,1389,1004,589,148,326,903,19505
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,462,365,408,153,125,637,451,445,534,412,113,40,571,383,528,900,694,759,445,828,240,309,60,701,884,96,81,268,1019,191,404,449,131,633,626,515,819,592,720,693,352,213,365,449,262,64,597,35,542,673,338,1236,663,801,472,459,727,675,445,775,1507,1567,876,255,932,1574,35532
