"TIV of arms exports to Chile, 1950-2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generated: 24 July 2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figures are SIPRI Trend Indicator Values (TIVs) expressed in US$ m. at constant (1990) prices.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figures may not add up due to the conventions of rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A '0' indicates that the value of deliveries is less than US$0.5m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"For more information, see http://www.sipri.org/databases/armstransfers/background",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: SIPRI Arms Transfers Database,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Total
,Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,2
,Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149,33,,,,,,,,,,50,,,3,,,,,,,235
,Brazil,,,,,,,,,,,,,,,,,,,,,,,,,29,3,47,,17,9,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,,18,35,,,,,,162
,Canada,,,3,,,,,3,,,,3,,,,,10,10,,,,,,,,,,15,,,19,,,,,,,,35,,,,,,,20,,,,,,,,,,,,,,2,7,4,,,,,131
,Denmark,,,,,,,,,,,,,,,,,,128,,,,,,,,,,,,,,,,,,,,,20,,,10,,,,,,,,,,,,,,,,,,,,,,,,,158
,Finland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,,,,,4,,12
,France,,,,,,,50,,,,,,,,,,,,,,,,2,86,6,10,3,8,26,,82,111,101,106,15,,20,7,,32,17,49,25,25,8,50,37,170,17,11,5,,2,1,20,299,1,,4,47,15,51,7,14,20,13,1569
,Germany (FRG),,,,,,,,,,,,,,,,,,,,,,,,,,,7,,4,38,4,,,,250,,1,,,7,17,2,,,,,,44,44,,5,,,,,1,1,86,156,172,162,10,8,,36,,1055
,Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,5
,Israel,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,20,51,20,33,2,2,45,,5,,2,64,4,4,6,30,34,79,51,43,,,1,7,19,12,13,8,11,14,7,10,22,18,3,9,,,650
,Italy,,,,,,,,,,,,,,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,18,16,45,45,48,11,,,,,,210
,Netherlands,,,,,,,,,,18,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,8,8,,,,,,,160,138,,9,,,123,323,290,6,,68,138,,,,,1293
,Norway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,20,30
,Portugal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,24
,South Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,8
,South Korea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,10
,Spain,,,,,,,,,,,,,,,,14,14,,,,,,,,,,,,38,,,,16,16,,,8,12,12,20,28,12,4,8,16,8,8,32,,,,4,,,,,299,,5,,22,55,,,,,651
