"TIV of arms exports to Denmark, 1950-2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generated: 24 July 2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figures are SIPRI Trend Indicator Values (TIVs) expressed in US$ m. at constant (1990) prices.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figures may not add up due to the conventions of rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A '0' indicates that the value of deliveries is less than US$0.5m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"For more information, see http://www.sipri.org/databases/armstransfers/background",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: SIPRI Arms Transfers Database,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Total
,Argentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
,Canada,,3,,,,15,,,,,,,,,,,,,,,,,99,,,,,,1,,,,,,,,,,,,,,,,,,,,,18,,36,,,,,,,,,,,,,,,172
,Finland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,1
,France,,,,,,,,,,,,,6,2,2,2,,3,,,,,,,,,,,,,,,,,,,,,,,7,7,3,3,3,86,,10,29,,,4,5,4,,,,,,,,,,,,,173
,Germany (FRG),,,,,,,,,,,,,6,6,5,5,,,,,80,,,,,,280,268,188,,1,1,1,,,,,,,0,61,51,0,21,21,10,21,1,10,10,1,16,27,42,86,47,,,,,,,24,,47,,1336
,Israel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,10,,,11
,Italy,,,,,,90,45,45,1,,,,,,,,,,,,,,,,,,5,13,8,,7,7,7,,,,,,,,,5,5,,,,,,12,,,,,,,,,,,,,,,,,,249
,Netherlands,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,3,2,5,,,,,,,,,,,,25,,,,,43,,85,,166
,Norway,,30,,,,,,,,,,,,15,20,25,25,25,25,15,,,,,,,,,,,,,,,,,,,,30,30,30,,,,,4,,,,,,,,,,,,,,,,,,,,273
,Sweden,,,,,,,,,,,,,,,,,,,,,183,312,,,,54,13,28,15,,2,2,2,,,3,3,3,,4,8,16,12,12,8,4,8,,,4,16,56,,,3,3,,12,74,64,4,,3,,5,,931
,Switzerland,,,,,,,,,,,,,,,105,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,,1,6,,,,,6,12,25,15,3,,,4,,8,,295
,United Kingdom,79,2,35,258,135,,47,52,43,,,,,10,34,30,30,30,,,21,36,,,,6,21,23,14,,165,129,113,13,13,13,13,10,10,64,12,24,18,6,,,,,,,,,,,,38,63,,,63,13,,,,,,1682
,United States,17,36,326,395,33,52,63,57,53,250,109,335,45,101,317,282,11,14,45,3,28,14,13,,39,89,41,42,142,57,399,433,441,218,59,77,,83,88,84,3,15,22,10,51,26,37,64,65,35,27,40,18,8,140,26,8,85,6,0,,,36,32,32,,5677
,Unknown country,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,96,72,361,652,168,157,155,154,97,250,109,335,57,133,482,449,66,72,71,19,312,362,111,,39,149,360,372,367,57,574,572,564,231,72,92,16,99,98,182,121,148,61,56,85,133,71,77,116,68,50,153,51,54,228,120,83,146,95,129,17,,109,42,177,0,10973
