"TIV of arms exports to Finland, 1950-2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generated: 24 July 2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figures are SIPRI Trend Indicator Values (TIVs) expressed in US$ m. at constant (1990) prices.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figures may not add up due to the conventions of rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A '0' indicates that the value of deliveries is less than US$0.5m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"For more information, see http://www.sipri.org/databases/armstransfers/background",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: SIPRI Arms Transfers Database,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Total
,Canada,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,2,,,,,7
,Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,5,,9
,France,,,,,,,,,,18,1,10,11,11,10,10,10,1,,,,,,,,,,,,,,,,,,,,,,,4,4,139,272,124,42,4,4,5,5,5,5,4,3,,3,5,,35,,7,14,7,59,52,52,932
,Germany (FRG),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,6,3,,,,2,13,144,40,61,,,,2,,,,,198,10,37,26,3,,,,,8,8,,,562
,Iceland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
,Israel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,15,14,,9,13,,,,,,,51
,Italy,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,5,5,5,,,,,,,,,5,,,,,,,,,,,,,7,7,14,62,62,7,7,186
,Netherlands,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,7,9,,,,,,,,,,,,,,,,,,1,,,,,,,,,11,,,,,,,,40,79
,Norway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,,,,,,3,2,1,1,,,,,45,42,40,135
,Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,,11,,150,,,,,,,,,,,,,,,,,,,,249
,South Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,6,,0,1,0,3,,,16
,Soviet Union,,,,,,,,,,,38,55,15,222,66,71,31,75,,21,15,5,,12,101,50,33,12,105,35,302,21,31,26,10,30,34,34,33,75,45,11,,,,,,,,,,,,,,,,,,,,,,,,,1613
,Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,12,,,,,36
,Sweden,,,,,,,,,3,,1,,,3,,,1,,10,,,,26,1,57,57,39,,,5,,18,,,29,76,50,30,109,,15,15,29,5,5,5,5,,8,4,3,3,3,26,67,49,89,60,9,13,15,13,,30,7,5,995
,Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,,,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,,11,,,,,,111
,United Kingdom,,,19,,,11,15,,21,23,15,,12,1,1,,,,,,,,,,12,15,,,,,17,77,85,85,85,87,5,,,10,25,23,,55,43,,,3,,,,,,,,,,,,,,,,,,,743
,United States,,,,,,,,3,,,,,,,,,,,,,,,,,3,6,,,,,,,16,1,2,,,,1,,,,36,36,,150,343,390,534,760,466,,5,,,,,,9,9,9,2,,75,44,84,2984
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,,19,,,11,15,3,25,41,54,65,38,237,77,81,42,76,23,21,15,5,26,13,174,127,90,30,105,47,328,119,132,112,126,203,97,69,143,85,90,65,435,407,246,197,507,397,551,768,474,9,12,227,77,107,136,108,135,42,50,58,76,280,156,228,8708
