"TIV of arms exports to Germany (FRG), 1950-2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generated: 24 July 2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figures are SIPRI Trend Indicator Values (TIVs) expressed in US$ m. at constant (1990) prices.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figures may not add up due to the conventions of rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A '0' indicates that the value of deliveries is less than US$0.5m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"For more information, see http://www.sipri.org/databases/armstransfers/background",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: SIPRI Arms Transfers Database,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Total
,Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,1,1,0,,,,,,,4
,Canada,,,,,,,,56,49,,,,,,,,,,,1,1,1,1,2,2,2,2,2,2,1,1,1,1,,,,,,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,28,159
,Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
,Finland,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
,France,,,,,,,23,71,291,399,480,410,385,179,219,70,323,204,177,113,48,48,167,355,414,265,45,45,85,48,60,66,66,7,2,2,,,,,,,,,,,,,,,,,13,13,25,25,25,25,,,,,,26,26,26,5266
,Israel,,,,,,,,,,,,,,,,3,5,5,5,5,3,,,,,,,,,,,,10,10,,,,,,,,,,,,,,,,,,26,,5,5,5,5,,,4,13,6,15,15,15,15,174
,Italy,,,,,,,,23,36,,73,223,223,172,319,176,72,,,,,46,10,23,33,35,5,,,,,,8,18,15,,,,,3,3,,,5,3,3,5,,,,,,,,6,3,,25,6,,,,7,8,,,1582
,Netherlands,,,,,,,,,,19,32,31,34,24,33,17,,,39,30,,,,,,,42,18,,,,,56,69,63,,,,,20,20,30,,,31,31,75,,,,,,,,90,95,347,,10,,,,59,15,,6,1331
,Norway,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25
,Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,29
,Sweden,,,,,,,,,,10,30,25,25,10,10,30,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,10,13,2,0,12,14,7,2,,7,7,7,13,13,266
,Switzerland,,,,,,,,,,50,362,360,388,199,199,199,175,88,,,,,,,,,,15,,,71,95,95,71,,,,,,,7,7,,,,,,,,,,,,,,,,,1,14,14,24,43,,14,11,2502
,United Kingdom,,,,,,,12,154,342,302,135,96,123,58,92,45,80,117,129,68,66,65,105,90,60,10,,,,,,,34,34,34,,17,,47,44,6,6,6,6,6,6,2,,,54,41,,6,12,22,20,10,,,,,,,,,,2561
,United States,,,,,,85,1262,1825,2164,726,872,824,1284,2575,2822,2776,2546,889,818,1039,1357,2181,523,1240,1600,1502,1301,969,622,28,104,190,258,251,272,87,272,321,383,637,673,648,650,524,363,169,124,61,543,75,73,99,42,21,89,56,16,16,268,319,255,47,25,42,46,3,41851
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,,,,,85,1296,2129,2881,1506,2009,1970,2463,3217,3694,3315,3201,1302,1178,1256,1475,2340,805,1709,2109,1813,1395,1049,709,77,237,352,527,469,386,89,289,321,430,703,711,694,685,535,403,208,206,61,543,129,113,133,71,64,239,204,416,82,292,339,282,84,157,113,114,102,55763
