"TIV of arms exports to India, 1950-2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generated: 24 July 2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figures are SIPRI Trend Indicator Values (TIVs) expressed in US$ m. at constant (1990) prices.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figures may not add up due to the conventions of rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A '0' indicates that the value of deliveries is less than US$0.5m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"For more information, see http://www.sipri.org/databases/armstransfers/background",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: SIPRI Arms Transfers Database,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Total
,Australia,,,,,,,,,,,,,,,,,,,,,17,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,8,17,17,17,17,17,,,,,142
,Canada,,,,,,,4,6,6,,,,,18,56,,,2,15,,,,,,,,,,,,,,,,,5,5,10,5,,,,,,,,,,,,,,,,,,,,,,,,,18,15,92,257
,Czechoslovakia,,,,,,0,,,,,,,,,,,,,,20,20,37,37,17,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147
,France,,,,156,73,,,254,224,,,61,15,17,26,14,22,9,32,7,28,20,21,21,30,31,28,28,28,29,33,42,44,45,75,524,498,172,186,99,81,70,54,53,56,50,43,42,42,42,41,18,11,15,148,100,5,9,13,18,25,29,34,51,52,148,4138
,Germany (FRG),,,,,,,,,,,,,,,,,38,115,,,,,,,,115,,,,,,,,,3,8,431,34,36,44,48,54,242,30,224,10,12,15,12,15,168,24,18,12,5,5,15,18,18,41,57,32,7,18,34,45,2001
,Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
,Indonesia,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
,Israel,,,,,,,,,,,,,,,,8,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,59,19,43,83,95,148,196,247,206,95,36,73,112,156,161,119,152,316,2382
,Italy,,,,,4,,,,,,,,,,,,,,,,,36,,,,,,,3,3,4,4,4,4,4,4,4,4,3,,,,,,,,3,3,,3,12,9,9,9,18,15,4,5,,,12,306,12,6,11,6,518
,Japan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,17,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60
,Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,3,3,,,,,,,,,,,,,,,17
