"TIV of arms exports to Italy, 1950-2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generated: 24 July 2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figures are SIPRI Trend Indicator Values (TIVs) expressed in US$ m. at constant (1990) prices.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figures may not add up due to the conventions of rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A '0' indicates that the value of deliveries is less than US$0.5m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"For more information, see http://www.sipri.org/databases/armstransfers/background",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: SIPRI Arms Transfers Database,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Total
,Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,1,0,1,1,1,0,,,,,,3
,Canada,,,,,,,,,,,,,,,,,,,,,,,1,1,2,9,10,10,10,10,10,10,10,,,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97
,Finland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,12,8,,,,,,,,,,,,,32
,France,,,,,,,,,,4,,13,48,50,54,46,15,,,,,162,162,162,,,,,,,,,5,5,5,5,10,10,10,10,10,8,8,8,8,8,8,15,18,13,13,10,11,9,1,8,,12,4,16,,,,30,20,40,1047
,Germany (FRG),,,,,,,,,,,,1,,,,,,,1,0,,193,229,66,322,272,267,267,267,141,141,15,56,60,60,62,43,43,41,10,10,10,12,8,8,35,35,5,5,6,,20,29,29,29,45,330,330,55,57,75,12,12,11,,275,3996
,Israel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,9,9,9,,5,5,4,2,2,2,,,5,32,20,0,6,21,16,10,20,20,203
,Netherlands,4,,,1,4,4,4,4,2,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,15,,,,,,,97
,Portugal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,,,,,,,,,,,,,,,,,,,,,,,,,,,71
,Sweden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,6,6,8,8,6,4,4,8,4,,,54
,Switzerland,,,,,,,,,,,70,140,140,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,441
,United Kingdom,16,32,128,96,3,106,36,48,,,,2,,,2,6,,15,6,,,9,9,9,2,,,,,2,6,6,8,8,5,5,5,5,,30,44,48,42,18,34,192,87,232,22,2,,,36,38,15,34,70,85,90,,,30,22,12,12,12,1779
,United States,138,203,331,674,302,478,1112,890,415,407,320,225,478,857,1059,668,380,91,175,457,531,714,1344,761,783,732,432,241,415,452,322,101,172,234,204,128,137,126,128,75,94,141,126,166,144,91,149,267,6,,224,176,154,473,401,68,22,42,43,14,30,231,161,25,94,249,21279
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,158,235,459,771,308,587,1151,941,417,411,390,425,666,998,1114,720,395,106,182,457,531,1078,1746,999,1108,1013,709,518,692,605,479,133,251,307,273,206,199,183,179,196,158,206,188,208,201,334,286,519,56,25,241,221,243,559,446,162,433,525,220,109,115,298,219,91,145,596,29100
