"TIV of arms exports to Norway, 1950-2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generated: 24 July 2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figures are SIPRI Trend Indicator Values (TIVs) expressed in US$ m. at constant (1990) prices.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figures may not add up due to the conventions of rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A '0' indicates that the value of deliveries is less than US$0.5m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"For more information, see http://www.sipri.org/databases/armstransfers/background",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: SIPRI Arms Transfers Database,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Total
,Belgium,,,,,,,29,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41
,Canada,,,,,,6,57,,,,,,,,,,,13,,,,,,49,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179
,Finland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,9,3,,,,11,,,,1,,,,,,,,,,,,30
,France,,,,,,,,2,2,2,2,2,2,,,,18,14,3,,,,,16,,,,,,,,,,1,,,,,15,23,15,,5,8,8,10,28,30,25,,,1,,,,1,35,35,50,50,35,48,23,13,5,3,524
,Germany (FRG),,,,,,,,,,,,,40,,180,229,216,130,,,86,86,,,,,,2,,12,14,,,,,,,,,115,230,230,143,94,15,11,,,3,3,,,,,,10,10,30,20,,3,2,1,2,,,1917
,Italy,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,,,,,,,,,,5,4,9,5,12,10,13,14,12,7,129
,Netherlands,,,,,,,,,,,,,,6,,6,60,60,12,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,16,75,,,,,,,,,,,5,5,5,252
,South Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,5,,,,,24
,Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,427,427,427,427,,427,,,,,2133
,Sweden,,,,,,,2,3,,,,,,,,,15,15,,,,,,,,,,,,0,,23,49,42,116,75,123,58,138,148,79,72,84,52,57,5,6,,38,68,78,20,6,,,,,,,,5,3,5,3,0,17,1402
,Switzerland,,,,,,,,,,,,,,,,56,56,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168
,United Kingdom,153,,58,7,,,,,,,,,,,,,,,,,,,68,,,,12,,7,,,35,20,16,16,14,,,,,,,7,,,,7,26,13,,65,,,,,,,,,,,40,40,,,,602
,United States,18,69,368,412,19,160,194,137,142,102,141,98,44,221,60,55,369,388,265,518,59,,,9,1,49,23,20,7,27,237,377,388,383,204,33,19,140,155,393,56,15,15,28,15,42,108,102,73,84,75,62,8,14,5,3,65,71,119,107,85,81,68,26,1,112,7742
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,171,69,426,419,19,168,282,142,144,104,143,100,86,227,240,346,746,676,280,518,145,86,68,74,55,49,35,22,14,39,251,434,457,441,337,122,141,198,308,678,380,322,254,181,94,79,188,159,152,155,229,99,90,14,6,14,542,567,624,588,159,614,149,62,23,143,15142
