"TIV of arms exports to Peru, 1950-2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generated: 24 July 2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figures are SIPRI Trend Indicator Values (TIVs) expressed in US$ m. at constant (1990) prices.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figures may not add up due to the conventions of rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A '0' indicates that the value of deliveries is less than US$0.5m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"For more information, see http://www.sipri.org/databases/armstransfers/background",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: SIPRI Arms Transfers Database,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Total
,Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,293,16,,,,2,,,,,,,,,,,,,,310
,Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,,,,17,,8,,,,,,,,,,,,,,,,,,,,,,,57
,Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,1,17,,,,,,,,,,,,,,,,,,,,29
,Canada,2,,,,,,,,,,,,,,,1,8,,,,,116,116,8,,,,3,3,,,,,,,,5,27,,,,6,,,,,,,,,,,,,,,,,,,,3,5,10,15,5,329
,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,8,,,,,,,,,,,,,,,,,1,1,,,,,13,30
,Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,,,,,,,,,,,,,,,,,,,,36
,Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,3
,France,,,,,,,28,,,,4,,,4,,,,,194,47,,,,12,166,4,129,9,,12,239,251,,,56,92,162,119,,3,,,7,,,,0,4,12,,,,,,,,,,,,,,,18,,,1568
,Germany (FRG),,,,,,,,,,,,,,,,,,,,,,24,17,,148,148,,,,,148,148,148,154,5,,,,,13,,0,0,,,,,,,,24,,,,,,,,,13,,,,,,,986
,Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,6,,,,,,,,,,,,,,,,,,,,,24
,Israel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,15,,,,,,,16
,Italy,,,,,,,,,,,,,,,,,,,,,,5,,,,,6,6,132,513,18,54,54,3,266,47,3,265,22,,2,18,,,,,,,7,,,,,,,343,172,172,,,,,,10,10,48,2172
,Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,9
,Netherlands,,,,,,,,,,,,,,,,,,,,,,,,140,,,,239,58,,156,156,52,,,,,,34,,,,,,,,,,,,,,,,,,,,,,24,,,,64,6,929
,New Zealand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6
,Nicaragua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,14,,,,,,,,,,,,,,,,,,,,,,,85
,Norway,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
,Poland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,2
,Portugal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
,Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,,,22,31,11,2,94,,1,,,,,,,,12,,59,,,54,68,380
,South Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,1,,,,,,0,,,,,,,,,,,,,,,,,,34
,South Korea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,7,13,36
,Soviet Union,,,,,,,,,,,,,,,,,,,,,7,,,26,320,283,44,626,422,76,92,216,,99,3,136,68,110,77,,95,,,,,,,,,,,,,,,,,,,,,,,,,,2699
,Spain,,,,,,,,,,,,,,,,,,,,,,,4,4,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16
,Switzerland,,,,,,,,,,,,,,,,,,,,5,5,5,5,5,,,,,,,,21,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67
,Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155,,,,,,,,,,,,,,,,,,,,,,155
,United Kingdom,,24,,,,,101,29,,131,119,,,,12,24,10,10,,34,,4,,198,,11,11,13,9,,,2,4,,,,,1,,,,,,,,16,,,,,,,,,,,,,,,,,,4,4,,768
,United States,,,76,,101,26,42,89,30,37,64,96,14,14,6,33,43,4,3,3,23,3,19,46,47,213,188,44,43,39,58,23,,67,34,59,11,39,109,,,15,12,3,,,26,4,12,1,,1,14,22,47,25,22,,,2,5,2,5,8,,10,1979
,Unknown country,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,1,,,,,,,,,,,,,,,28
,Yugoslavia,,,,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,2,24,76,,101,26,171,117,30,175,187,96,14,18,18,58,60,28,197,89,35,156,159,465,680,658,378,939,667,641,710,870,278,322,364,333,248,603,241,16,96,96,126,42,175,46,124,312,52,97,24,5,16,22,47,368,193,172,,43,46,63,10,49,153,169,12792
