"TIV of arms exports to South Africa, 1950-2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generated: 24 July 2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figures are SIPRI Trend Indicator Values (TIVs) expressed in US$ m. at constant (1990) prices.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figures may not add up due to the conventions of rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A '0' indicates that the value of deliveries is less than US$0.5m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"For more information, see http://www.sipri.org/databases/armstransfers/background",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: SIPRI Arms Transfers Database,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Total
,Canada,,,,,,,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,,,7,14,14,,,,,,,,,,,,,,,,,,,,170
,Denmark,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20
,France,,,,,,,,,,,3,,44,197,121,91,185,130,104,80,413,192,132,192,82,186,357,295,198,,12,,,1,13,,2,3,5,11,8,8,20,20,18,,,,,,,,,,,17,30,30,1,1,1,9,9,2,,,3218
,Germany (FRG),,,,,,,,,0,,,,,,,,,,,,,,,,,,,10,10,5,96,92,12,5,15,14,7,2,2,2,2,2,2,,,,,,,,,18,,,,225,528,758,253,5,,,,,,,2061
,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49
,Israel,,,,,,,,,,,,,,,,,,,,,,,,,,,,145,124,67,71,15,15,129,15,12,186,1,,,,,202,218,202,,,,,3,6,,,,,,,,,,2,3,5,,,,1421
,Italy,,,,,,,,,,,,,,,,,61,47,9,41,21,52,54,69,66,32,39,51,28,32,18,13,20,16,10,,2,,,,,,,,,,,,,,,,,,,6,14,10,10,8,,,,,,,731
,Jordan,,,,,,,,,,,,,,,,,,,,,,,,22,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32
,Netherlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,,,,,,,,,,5
,Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,50
,Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,20
,Sweden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132,105,158,184,105,,,,684
,Switzerland,,,,,,,,,,,,,,,19,72,46,75,58,46,,,,,,,,,,,,,,,,,,,,,3,6,,6,12,24,24,2,,,,,,,,,,,,,,,,,,,391
,Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140,,,,,,,,,,,,,,,,,,,,,,,,140
,United Kingdom,37,,91,53,49,106,125,173,169,67,10,,166,114,121,165,161,8,8,6,30,8,21,13,13,5,5,7,3,4,2,2,2,74,74,,,5,,,,,,,,,,,,,,,,,,12,120,53,80,,6,,4,,,,2169
,United States,,73,92,,,,10,,,1,,,5,166,5,5,15,1,1,0,,,20,20,,,14,,,,,,,,,,11,2,,,,,,,,,,9,,18,,,,,,,14,30,11,9,13,16,9,,,,569
,Unknown country,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,37,73,183,53,49,106,265,173,169,68,13,,215,476,266,353,468,260,179,173,464,252,227,316,171,223,415,507,390,130,200,122,49,225,127,29,211,16,7,13,13,27,363,244,239,38,38,11,,21,6,18,,,,262,708,881,486,128,180,212,132,2,50,,11729
