"TIV of arms exports to Saudi Arabia, 1950-2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generated: 24 July 2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figures are SIPRI Trend Indicator Values (TIVs) expressed in US$ m. at constant (1990) prices.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figures may not add up due to the conventions of rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A '0' indicates that the value of deliveries is less than US$0.5m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"For more information, see http://www.sipri.org/databases/armstransfers/background",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: SIPRI Arms Transfers Database,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Total
,Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,2,,,,,,7
,Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,14,14,15,47,,7,,,,,7,21,21,10,,157
,Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,28,4,29,25,10,,,,,,,,,,,,,,,,,,,,,,,,97
,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,4,,,,68,68,57,57,59,28,25,23,20,6,5,5,17,,8,12,10,3,,33,40,43,70,64,740
,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225,225,,,,,,,,,,,,,,,,,,,,33,33,,,,,,8,524
,Egypt,,,,,,,,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
,Finland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,10,6,,22
,France,,,,,,,,,,,,,,,,,2,4,8,49,49,,,,,65,160,141,174,260,436,411,277,81,172,917,946,274,274,184,297,213,97,49,,,,5,31,36,25,7,374,29,761,1,4,26,25,31,89,84,25,53,183,160,7488
,Germany (FRG),,,,,,,,,,,,,,,,,,,,53,,,,,,,,,2,2,1,3,3,1,,,,12,,59,,13,,,,,,,1,1,1,1,1,1,1,1,,,3,3,12,73,71,71,64,1,452
,Italy,,,,,,,,,,,,,,,,,,,35,35,,,,,,,9,,,,5,50,38,76,44,15,,,,,,,,,,,,,,,,,83,,6,,,,,,,,1,,,,396
,Jordan,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
,Netherlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,30,30,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,25,25,25,25,191
