"TIV of arms exports to Singapore, 1950-2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generated: 24 July 2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figures are SIPRI Trend Indicator Values (TIVs) expressed in US$ m. at constant (1990) prices.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figures may not add up due to the conventions of rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A '0' indicates that the value of deliveries is less than US$0.5m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"For more information, see http://www.sipri.org/databases/armstransfers/background",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: SIPRI Arms Transfers Database,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Total
,Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,30,15,6,,,81
,Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,4,3,,,,,,6,8,4,,,,,,,,,,,,,11,,,,,,,,41
,Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6,4,,,,,,,12
,France,,,,,,,,,,,,,,,,,,,,4,4,,,,,,,,,,12,,4,10,,36,51,51,22,,59,25,53,60,34,50,30,19,,14,16,0,,,,,6,290,843,589,,,48,22,1,11,2362
,Germany (FRG),,,,,,,,,,,,,,,,,,,,,,,88,,88,44,44,,,,,,,,,,,,,,228,228,,,,,12,12,24,,,,,,,,,19,117,69,171,176,78,4,,,1401
,India,,,,,,,,,,,,,,,,,,,,,,,,18,18,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67
,Israel,,,,,,,,,,,,,,,,,,,,14,,21,31,,9,9,9,32,,,,,,,,,,,,2,16,16,,,6,6,47,49,37,17,42,50,25,25,14,8,34,26,,35,70,74,57,3,,,782
,Italy,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,1,,,1,,4,20,20,16,,,21,21,,,6,6,16,18,64,,,,,,,,,10,18,13,,45,71,51,26,,452
,Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,28,,,,,,,,,,,,,,,,,,,,,,46
,Kuwait,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,Netherlands,,,,,,,,,,,,,,,,,,,,,5,18,12,,12,6,6,,,,,,,,,,,,,,,,,23,84,67,,,,,,,,,,,,,,,,,,9,14,5,259
,New Zealand,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
,Oman,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
,Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,14,,,,,,,,,,,,,,,,,28
,South Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,1,2,,22
,South Yemen,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
,Sweden,,,,,,,,,,,,,,,,,,,,,,,5,,5,2,2,,,,20,20,13,,,,,,,,15,15,,,,150,,73,,8,200,135,,12,,,,,,,,119,114,15,,,921
,Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,28,,,,,44,41,54,,,,,,,,,,30,30,,,,,,,,,,,,,,,,93,,,,,,15,18,353
,United Kingdom,,,,,,,6,,,,,,,,,1,8,,6,115,39,81,34,44,8,,7,,,,,,62,62,,,,,,,,,,,3,7,3,6,73,72,10,10,,,,,,,,,,,,,,,654
,United States,,,,,,,,,,,,,,,,,,,,6,44,41,8,38,123,149,179,112,50,282,329,90,92,170,68,60,,205,524,233,192,40,9,82,12,16,63,448,604,194,531,59,209,47,362,530,30,8,25,772,748,492,446,670,627,65,10080
,Unknown country,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,,,,,,6,,,,,,,,,1,8,,6,139,92,165,177,99,290,247,247,168,50,327,402,164,176,243,79,120,75,275,546,235,531,375,112,170,182,306,171,624,815,318,798,254,234,83,376,538,69,355,1113,1481,1020,935,828,780,683,98,17584
