"TIV of arms exports to Taiwan (ROC), 1950-2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generated: 24 July 2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figures are SIPRI Trend Indicator Values (TIVs) expressed in US$ m. at constant (1990) prices.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figures may not add up due to the conventions of rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A '0' indicates that the value of deliveries is less than US$0.5m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"For more information, see http://www.sipri.org/databases/armstransfers/background",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: SIPRI Arms Transfers Database,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Total
,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,33,30,,,,,,,,,,,,,,,,,,,,,,,68
,Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81
,France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,650,1833,1699,,,,,,5,50,,,,,,,,,,,4242
,Germany (FRG),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,44,44,,90,90,,,4,,,,,20,24,,,6,,,,,,60,60,60,,,,,546
,Israel,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,38,108,108,108,108,108,118,28,28,28,28,28,14,,,,,,,,8,,,,,,,,,,,,,,,,860
,Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,6,,,,,,5,5,,,,,,,,,,,,,,,,,,,,,,,,,3,,23
,Japan,,,,,,34,,74,0,0,,,,,,,,,,13,,,,,,,,,,,,,,,,,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219
,Netherlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260,260,27,27,27,27,,,,,,,,,,,,,,,,,,,,,,,,628
,Singapore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,25,25,25,25,,,,,,,,,,,,,,,,,,,,,,,,,,102
,Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,93,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,278
,United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,5
,United States,,98,304,383,336,591,256,371,721,984,428,108,137,320,345,460,321,473,293,568,582,289,241,329,421,330,465,844,768,530,462,666,680,606,314,529,652,111,193,196,222,511,399,1118,843,1308,815,2955,2238,1699,553,345,298,111,314,641,503,12,11,,37,138,425,553,1081,681,34511
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,98,304,383,336,624,256,444,721,984,428,108,137,320,345,460,321,473,293,581,582,289,241,329,421,332,465,844,774,530,500,774,794,714,424,637,1005,642,648,281,392,661,473,1148,848,1313,1465,4787,3937,1719,585,345,298,117,319,691,503,12,11,60,97,198,425,553,1084,681,41561
