"TIV of arms exports to Tanzania, 1950-2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generated: 24 July 2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figures are SIPRI Trend Indicator Values (TIVs) expressed in US$ m. at constant (1990) prices.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figures may not add up due to the conventions of rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A '0' indicates that the value of deliveries is less than US$0.5m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"For more information, see http://www.sipri.org/databases/armstransfers/background",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: SIPRI Arms Transfers Database,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Total
,Canada,,,,,,,,,,,,,,,,2,20,,,,,12,,,,,,,,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114
,China,,,,,,,,,,,,,,,,,,,,,10,46,46,115,7,48,,10,10,11,,108,9,,,,1,,,,,,18,,5,,,,,,,,,46,,,0,0,,25,,76,113,92,26,20,844
,East Germany (GDR),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14
,Germany (FRG),,,,,,,,,,,,,,,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,Italy,,,,,,,,,,,,,,,,,,,,,,,,0,,,,1,,10,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,,,,,,,,,,32
,Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0
,North Korea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20
,Poland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,3
,South Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0
,Soviet Union,,,,,,,,,,,,,,,,1,1,1,,,,,1,1,180,,,15,45,137,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,404
,UAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,2
,Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,4
,United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,9,15,15,,,,,,,,,5,,,,,,,,,,,,,,5,,,,,,,,,,,,,65
,United States,,,,,,,,,,,,,,,,,,,,,1,2,1,1,1,,,,,,,2,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,7
,Unknown country,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,,,,,,,,,,,,,,4,4,21,1,,,11,60,47,118,189,48,,44,63,260,53,121,9,,,,1,,,5,,,18,,5,,4,,,,3,,,51,,10,12,1,,25,,78,115,92,26,20,1518
