"TIV of arms exports to Thailand, 1950-2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generated: 24 July 2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figures are SIPRI Trend Indicator Values (TIVs) expressed in US$ m. at constant (1990) prices.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figures may not add up due to the conventions of rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A '0' indicates that the value of deliveries is less than US$0.5m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"For more information, see http://www.sipri.org/databases/armstransfers/background",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: SIPRI Arms Transfers Database,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Total
,Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,14,24,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46
,Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,2,2,2,,,,,11
,Canada,2,,,,,,,,,,,,,,,,,,11,,,,,,,,,,12,,,12,,,8,,,3,,,,6,6,2,5,,,,6,4,,,,,,,,,,6,,,,,,,81
,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,125,110,54,2,231,187,,258,258,150,,,,25,,,,,11,11,,,12,,5,25,28,8,,1513
,Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,112,,8,8,,,,,,,,,,,,,,,,,,,160
,Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,7
,France,,,,,32,,,,,,,,,,,,,,,,,,,,,,4,4,4,18,11,,,20,45,45,0,32,35,3,,,,,,,85,72,,,,6,,,,,,,,40,,,,4,4,30,492
,Germany (FRG),,,,,,,,,,,,,,,,,,,,,,,,,,,88,44,,6,28,,,11,5,,17,45,10,11,11,36,43,4,4,11,3,,,15,30,89,,,5,,,,,,1,1,9,7,1,23,556
,Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15
,Israel,,,,,,,,,,,,,,,,,,,,,,,,,,37,8,4,,,4,4,4,,,,,,27,,4,,,,,,5,,2,,,1,,,7,7,,,,,,0,,,3,5,121
,Italy,,,,,,,,,,,,,,,,,,,,,,,,1,1,,5,,,94,47,,1,112,55,,12,14,29,12,,,11,,,73,,,,95,,,5,,,13,13,,,,,,3,9,6,10,621
,Japan,,,,,,,,,,,,,,8,14,,4,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26
