"TIV of arms exports to Turkey, 1950-2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generated: 24 July 2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figures are SIPRI Trend Indicator Values (TIVs) expressed in US$ m. at constant (1990) prices.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figures may not add up due to the conventions of rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A '0' indicates that the value of deliveries is less than US$0.5m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"For more information, see http://www.sipri.org/databases/armstransfers/background",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: SIPRI Arms Transfers Database,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Total
,Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76
,Canada,,,4,6,76,81,,19,79,,,,,,,,,,9,9,9,9,9,9,,,,,,,,,,,,,67,67,,,,,,,,,,,,,,,,,,,,,,,3,12,9,4,,,482
,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,6,,7,7,14,14,28,35,35,35,35,35,35,,,,298
,Denmark,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,29,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,126
,France,,,,,,,,,,,,,,,,,14,14,28,14,28,28,36,14,,,,1,,,,,15,16,,,,,1,25,1,1,1,25,50,124,123,34,125,163,156,170,193,15,,,,,,,,,,15,8,,1436
,Germany (FRG),,,,,,,,,,,,,,,66,3,42,138,26,38,102,337,384,3,25,178,184,97,216,152,234,355,196,188,266,175,138,263,710,251,271,255,97,243,341,559,493,123,596,237,303,,,,21,602,330,404,287,172,126,40,28,4,54,14,10365
,Israel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,94,48,10,3,6,99,97,320,69,22,9,,17,15,854
,Italy,,,,,,,,,,,,,,,3,,,27,27,13,13,22,28,42,22,22,8,21,3,3,3,,,,51,50,3,56,66,14,1,1,4,4,10,23,37,36,10,5,10,15,15,15,,35,30,,30,5,5,8,170,35,72,32,1103
,Libya,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22
,Netherlands,,,,,,,,,,,,,34,34,,,,,,,,10,,,,,,6,6,6,64,58,63,58,,6,6,20,159,66,122,41,27,10,10,14,5,19,22,13,22,,,,,27,13,,13,13,13,42,38,50,55,,1163
,Norway,,,,,,,,,,,13,,25,40,25,40,40,40,40,25,,,,,,8,8,8,,,,58,,35,,35,,32,,,,3,5,15,5,,,,,,,6,6,,,,,,,,,12,,,,,525
,Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,7,44,95,,,,,,,,,,,,,16,16,,,,,,201
,Saudi Arabia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,,,,,62
,South Korea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,104,104,104,173,173,181,206,198,53,6,6,1375
,Spain,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,25,49,49,74,74,82,74,,,,,,,,,,,,,,,135,229,73,865
,Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,3,,,,,,,,,,,,,,,,5,23,23,23,23,,,,,,,,,,,,,,,,105
,Taiwan (ROC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,29
,United Kingdom,,,,,,,,52,37,310,,,,,,,,,,,,30,31,,,,,,,,,,,58,150,150,119,159,157,10,,,,,28,43,55,55,178,163,150,135,142,14,14,38,14,26,26,26,25,,,,,,2393
,United States,104,124,317,508,397,254,198,534,576,501,579,312,241,542,713,401,234,369,291,540,239,501,608,722,724,843,231,196,739,749,180,226,136,74,93,274,144,822,512,612,856,917,1680,1928,1358,712,630,1159,1615,1127,520,138,448,232,129,290,5,25,49,21,11,331,1009,355,1116,308,33325
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,104,124,321,514,473,335,198,605,691,812,592,312,300,616,866,443,330,588,420,639,391,937,1096,789,773,1074,431,330,966,912,483,727,478,466,560,690,477,1419,1604,1007,1251,1218,1838,2297,1858,1592,1516,1530,2648,1737,1190,510,905,330,257,1113,531,692,710,780,484,770,1503,650,1556,448,54805
