"TIV of arms exports to UAE, 1950-2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generated: 24 July 2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figures are SIPRI Trend Indicator Values (TIVs) expressed in US$ m. at constant (1990) prices.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figures may not add up due to the conventions of rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A '0' indicates that the value of deliveries is less than US$0.5m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"For more information, see http://www.sipri.org/databases/armstransfers/background",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: SIPRI Arms Transfers Database,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Total
,Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,3,3,2,,,,,,12
,Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13
,Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,18
,Canada,,,,,,,,,,,,,,,,,,,8,8,,4,,,,,,,53,,,,22,,,1,5,,,,,,,,,,,,,,,,,,,,,,,,2,13,11,5,13,14,158
,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,,,,,,,,,,,,,,,,,,,,,,14
,Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,1,4
,Finland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,1,2,1,6
,France,,,,,,,,,,,,,,,,,,,,,,,23,87,99,58,169,198,121,12,73,78,78,25,37,12,,,,544,337,103,,25,45,109,232,262,262,272,161,155,196,604,823,898,918,357,58,23,63,104,5,272,,167,8060
,Germany (FRG),,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,88,181,1,1,1,2,0,,,,164,76,,,1,6,15,19,17,16,9,9,9,4,5,4,46,4,4,6,32,8,,27,71,11,840
,Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,16,25,,,,,,,,,,,,,,,,,,,,,57
,Italy,,,,,,,,,,,,,,,,,,,3,,,,,,0,,17,5,5,5,10,40,24,15,30,22,2,26,11,15,8,14,10,5,5,15,,,,,,,,,,,6,36,,,,3,3,316,20,47,718
,Libya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,18,18,,,,,,54
,Netherlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,,,,,,227,234,25,2,2,,,,,,,,,,,,,,,509
,New Zealand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
,North Korea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,44
,Romania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,24,,,,,,,,,,,,8,32,,,,,,,,,79
,Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116,138,196,202,36,99,133,68,44,,,,,,,,1,113,288,90,90,90,,,1703
,Singapore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,11,,30,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,2,62
,South Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,54,54,,,1,,,,,,,1,,,13,1,,2,3,2,2,6,5,6,159
,Soviet Union,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
,Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,294,,,309
,Sweden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,10,,,,,,,,,20,7,,,,,8,8,8,,,,,,,,9,9,0,1,40,47,,72,57,65,376
,Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,98,2,8,,,2,,,,,,,,,,,,,,,,,,,,,,78,44,,,,246
,Turkey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,16,,,,,9,7,7,7,,3,,10,20,20,80,199
,Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,22
,United Kingdom,,,,,,,,,,,,,,,,,,,2,5,69,20,2,2,,25,84,78,28,1,15,21,,73,85,85,20,1,9,12,15,16,20,226,59,36,34,68,83,22,,2,,,2,,,,,,,,,66,,,1284
,United States,,,,,,,,,,,,,,,,,,,,,,0,1,5,7,56,,13,,,,101,,29,61,5,99,160,26,6,6,,,92,213,28,154,6,21,15,15,19,18,36,380,1259,994,472,677,394,153,863,923,1063,542,895,9807
,Unknown country,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,,,,,,,,,,,,,,,,,,13,13,69,24,26,93,106,144,270,294,207,18,203,430,159,164,312,128,137,201,46,652,559,235,201,579,566,421,480,688,758,437,247,186,222,685,1210,2170,2021,919,752,561,605,1210,1088,2235,731,1289,24759
