"TIV of arms exports to United States, 1950-2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generated: 24 July 2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figures are SIPRI Trend Indicator Values (TIVs) expressed in US$ m. at constant (1990) prices.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figures may not add up due to the conventions of rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A '0' indicates that the value of deliveries is less than US$0.5m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"For more information, see http://www.sipri.org/databases/armstransfers/background",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: SIPRI Arms Transfers Database,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Total
,Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,8
,Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,71,,,,,,,18,24,,,,,,42,30,30,2,,,,,,,96,30,30,60,60,546
,Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,3,3,,3,1,1,,,,,15
,Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,7,,,,,,,,,,,,,9
,Canada,23,52,262,52,37,32,29,29,29,44,29,173,173,173,169,53,,,,,13,123,14,14,13,12,,,,1,,1,,8,27,34,58,59,29,3,,13,,7,57,106,,2,3,1,8,31,121,181,135,135,149,154,164,121,180,195,163,65,18,14,3788
,Chad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20
,Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,32
,Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183,246,,,,,,,,,,,,,,,,,,,,,,429
,Egypt,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,54,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128
,France,,,,,,,,60,60,60,70,65,90,150,155,135,105,70,70,70,30,6,9,7,5,,,63,63,63,63,63,63,53,10,86,96,106,92,57,38,54,54,35,15,48,24,,14,,,,,,,,22,43,23,76,54,55,69,82,67,53,2920
,Germany (FRG),,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,17,154,164,,,,,,,2,,4,120,10,77,5,,,,,18,,,,,,,17,52,135,156,171,176,200,176,112,200,1970
,Israel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,,64,1,1,1,21,50,75,15,35,15,33,41,,77,148,109,92,88,53,30,16,5,8,9,15,25,35,35,35,1188
,Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,3,13,25,25,30,28,180,10,13,10,10,12,69,64,54,54,109,163,163,54,54,5,8,,,3,,,,16,16,80,80,80,16,48,,1497
,Japan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,126,153,162,158,113,32,,,,,,,,,,40,,,,,,,,,850
,Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,,,,,,,,,,,,,,,,,,,,,,36
,Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217,,,,,,,,,,,,,,,,,,,217
,Mujahedin (Afghanistan)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1
,Netherlands,,,,,,,,,,,,,,,,,,,,,,,,,,,6,12,,6,30,60,60,72,71,30,18,30,30,54,18,12,6,,,,,,,,,,,,,,,,,,,,46,77,46,46,731
,New Zealand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,,,,75
,Norway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,9,30,50,,,,,5,3,1,1,,10,,,50,100,100,142,75,107,50,50,50,841
,Peru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,4
,Poland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,8,8,8,14,121,,,175
,Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,16
,Saudi Arabia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,18
,South Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,1,26,55,76,78,68,117,5,,,,,427
,Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,15,11,4,8,,,,,,,,,,,,,,,,,34,52,52,34,34,34,17,52,,351
,Sweden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,5,,13,,5,,13,18,68
,Switzerland,,,,,,,,,,,,,1,0,2,2,4,2,,,2,5,3,,,,,,2,2,,,,,,,,,,40,40,,,,,,,,,1,18,56,70,97,111,132,133,104,81,77,91,77,70,56,42,34,1357
,Taiwan (ROC),,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12
,Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,,3,12,,,,,,,,,,66
,United Kingdom,329,650,620,1270,2430,1860,2040,1280,610,539,120,,,,,,,,,,,405,654,644,575,333,443,200,200,100,56,139,50,251,226,268,177,1616,1613,1617,237,158,224,355,324,310,217,142,152,143,218,192,160,134,195,172,203,246,293,284,211,177,236,76,24,24,26422
,Unknown country,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,19,,,48,,,,,3,5,,,,,,,,,,9,,,,90
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,352,702,882,1322,2467,1892,2069,1369,699,643,219,238,264,323,326,190,109,84,70,70,46,539,681,666,594,345,449,337,321,203,326,451,198,413,361,655,431,1993,1794,1785,357,523,551,988,982,788,580,588,264,222,330,487,499,592,560,520,641,819,951,968,1111,995,1180,802,566,565,44306
