AFG;Afghanistan;Afghanistan, Islamic Republic of
ALB;Albania;Albania
ALG;Algeria;Algeria
ANG;Angola;Angola
ARG;Argentina;Argentina
ARM;Armenia;Armenia, Republic of
AUS;Australia;Australia
AST;Austria;Austria
AZB;Azerbaijan;Azerbaijan, Republic of
BAH;Bahrain;Bahrain, Kingdom of
BAN;Bangladesh;Bangladesh
BLR;Belarus;Belarus
BEL;Belgium;Belgium
BLZ;Belize;Belize
BEN;Benin;Benin
BOL;Bolivia;Bolivia
BOS;Bosnia-Herzegovina;Bosnia and Herzegovina
BOT;Botswana;Botswana
BRA;Brazil;Brazil
BRU;Brunei;Brunei Darussalam
BUL;Bulgaria;Bulgaria
BF;Burkina Faso;Burkina Faso
BDI;Burundi;Burundi
CMB;Cambodia;Cambodia
CAM;Cameroon;Cameroon
CAN;Canada;Canada
CAP;Cape Verde;Cape Verde
CAR;Central African Republic;Central African Republic
CHA;Chad;Chad
CHE;Chile;Chile
CHI;China;China, P.R.: Mainland
COL;Colombia;Colombia
DRC;DR Congo;Congo, DRC
CON;Congo;Congo, Republic of
COS;Costa Rica;Costa Rica
IVO;Cote d'Ivoire;Cote d'Ivoire
CRO;Croatia;Croatia
CUB;Cuba;Cuba
CYP;Cyprus;Cyprus
CZR;Czech Republic;Czech Republic
CZE;Czechoslovakia;Czechoslovakia
CZE;Denmark;Denmark
CZE;Djibouti;Djibouti
CZE;Dominican Republic;Dominican Republic
DOM;Ecuador;Ecuador
DOM;Egypt;Egypt
DOM;El Salvador;El Salvador
EQU;Equatorial Guinea;Equatorial Guinea
ERI;Eritrea;Eritrea
EST;Estonia;Estonia
ETH;Ethiopia;Ethiopia
XCF;Fiji;Fiji
XCF;Finland;Finland
FRA;France;France
GAB;Gabon;Gabon
GAM;Gambia;Gambia, The
DOM;East Germany (GDR);GDR
GEO;Georgia;Georgia
FRG;Germany (FRG);Germany
GHA;Ghana;Ghana
GRE;Greece;Greece
GUA;Guatemala;Guatemala
GUI;Guinea;Guinea
GBI;Guinea-Bissau;Guinea-Bissau
GUY;Guyana;Guyana
HAI;Haiti;Haiti
HON;Honduras;Honduras
HUN;Hungary;Hungary
ICE;Iceland;Iceland
IND;India;India
INS;Indonesia;Indonesia
IRA;Iran;Iran, Islamic Republic of
IRQ;Iraq;Iraq
IRE;Ireland;Ireland
ISR;Israel;Israel
ITA;Italy;Italy
JAM;Jamaica;Jamaica
JAP;Japan;Japan
JOR;Jordan;Jordan
KAZ;Kazakhstan;Kazakhstan
KEN;Kenya;Kenya
KON;North Korea;Korea, North
KOS;South Korea;Korea, South
KSV;Kosovo;Kosovo
KUW;Kuwait;Kuwait
KYR;Kyrgyzstan;Kyrgyz Republic
KYR;Laos;Lao People's Democratic Republic
KYR;Latvia;Latvia
KYR;Lebanon;Lebanon
KYR;Lesotho;Lesotho
XLL;Liberia;Liberia
XLL;Libya;Libya
XLL;Lithuania;Lithuania
LUX;Luxembourg;Luxembourg
LUX;Macedonia (FYROM);Macedonia, FYR
LUX;Madagascar;Madagascar
MWI;Malawi;Malawi
MAL;Malaysia;Malaysia
MLI;Mali;Mali
MTA;Malta;Malta
MRA;Mauritania;Mauritania
MAU;Mauritius;Mauritius
MEX;Mexico;Mexico
MOL;Moldova;Moldova
MON;Mongolia;Mongolia
#N/A;;Montenegro
MOR;Morocco;Morocco
MOZ;Mozambique;Mozambique
MYA;Myanmar;Myanmar
MYA;Namibia;Namibia
NEP;Nepal;Nepal
NET;Netherlands;Netherlands
NZ;New Zealand;New Zealand
NIC;Nicaragua;Nicaragua
NIR;Niger;Niger
NIG;Nigeria;Nigeria
NOR;Norway;Norway
OMA;Oman;Oman
XPP;Pakistan;Pakistan
PAN;Panama;Panama
PAP;Papua New Guinea;Papua New Guinea
PAR;Paraguay;Paraguay
PER;Peru;Peru
PHI;Philippines;Philippines
POL;Poland;Poland
POR;Portugal;Portugal
QAT;Qatar;Qatar
ROM;Romania;Romania
RUS;Russia;Russian Federation
RWA;Rwanda;Rwanda
RWA;Saudi Arabia;Saudi Arabia
RWA;Senegal;Senegal
SER;Serbia;Serbia, Republic of
SEY;Seychelles;Seychelles
SIE;Sierra Leone;Sierra Leone
SIN;Singapore;Singapore
SLK;Slovakia;Slovak Republic
SLO;Slovenia;Slovenia
SOM;Somalia;Somalia
SA;South Africa;South Africa
SSD;South Sudan;South Sudan
SPA;Spain;Spain
SRI;Sri Lanka;Sri Lanka
SUD;Sudan;Sudan
SWA;Swaziland;Swaziland
SWE;Sweden;Sweden
SWI;Switzerland;Switzerland
SYR;Syria;Syrian Arab Republic
TAI;Taiwan (ROC);Taiwan
TAJ;Tajikistan;Tajikistan
TAN;Tanzania;Tanzania
THA;Thailand;Thailand
ET;Timor-Leste;Timor Leste
TOG;Togo;Togo
TRI;Trinidad and Tobago;Trinidad and Tobago
TUN;Tunisia;Tunisia
TUR;Turkey;Turkey
TRK;Turkmenistan;Turkmenistan
UAE;Uganda;Uganda
UKR;Ukraine;Ukraine
UAE;UAE;United Arab Emirates
UK;United Kingdom;United Kingdom
USA;United States;United States
URU;Uruguay;Uruguay
USR;Soviet Union;USSR
UZB;Uzbekistan;Uzbekistan
VEN;Venezuela;Venezuela, Republica Bolivariana de
VN;Viet Nam;Vietnam
YEN;North Yemen;Yemen, North
YEM;Yemen;Yemen, Republic of
YUG;Yugoslavia;Yugoslavia (former)
YUG;Zambia;Zambia
ZIM;Zimbabwe;Zimbabwe
