"TIV of arms exports to Brazil, 1950-2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generated: 24 July 2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figures are SIPRI Trend Indicator Values (TIVs) expressed in US$ m. at constant (1990) prices.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figures may not add up due to the conventions of rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A '0' indicates that the value of deliveries is less than US$0.5m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"For more information, see http://www.sipri.org/databases/armstransfers/background",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: SIPRI Arms Transfers Database,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Total
,Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30
,Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,13
,Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,23,31,17,6,2,,,,,,,,,,,,,,103
,Canada,,,,,,,,,,,,12,,,,,,,93,66,145,13,,,,,,,2,4,4,4,4,8,14,14,12,12,12,12,12,11,,,,,,,,,1,,10,6,7,7,15,16,11,11,6,6,3,,,,555
,Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,5,,,14
,Finland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,4
,France,,,,,,,,,,,45,9,,8,,,,,3,4,,,91,93,2,26,20,,26,10,19,36,27,27,47,41,60,104,59,167,52,79,18,5,16,6,7,19,48,81,59,467,15,22,22,1,58,58,58,20,45,8,8,38,65,113,2308
,Germany (FRG),,,,,,,,,,,,,,,,,,,,3,,30,30,1,0,0,48,18,57,41,18,2,,,,1,1,1,1,176,1,5,5,,175,32,181,,,191,,,,,,170,,,4,65,137,172,37,43,58,38,1742
,Israel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,0,,,11,11,11,11,,,,,20,20,20,8,21,19,18,21,43,31,273
,Italy,,,,,,,,,,,,,,,,,,,,,,12,49,52,52,52,35,44,51,33,7,,24,47,56,,12,,5,7,5,2,2,,2,8,,5,,,,19,19,5,33,28,6,6,17,7,7,6,5,6,61,45,830
,Japan,,,,,,76,38,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152
,Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,32,,,,,,,44
,Kuwait,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,,,,,,,,,,,,,,,,,,95
,Netherlands,,,,,,250,4,4,4,4,5,,,,,,,,,,,2,2,,,,3,1,2,1,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,284
,Norway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,23,29
,Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,77,18,36,,35,,174
,Singapore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,21,,,11,,11,11,,,,,,,,,,,,,,,,64
,South Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,13
,Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,48,24,24,,,,,,,144
,Sweden,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,7,4,5,6,6,6,6,6,7,6,0,0,0,,,,,3,4,1,,,,,90,60,,,,,,,,,,,5,4,234
,Switzerland,,,,,,,,,,,,,,2,,,,,,,,14,14,,,,,21,25,21,,,,,,5,5,5,5,5,5,10,10,5,5,5,,,,,,,,,,,,1,1,1,1,1,1,1,1,,171
,United Kingdom,,176,,105,105,,,,1,,124,,17,34,,3,4,0,,3,,2,8,84,60,9,278,450,619,279,275,6,4,1,,,6,6,,41,35,45,47,37,47,194,308,282,63,30,,,7,,,,,20,,20,,,77,40,,2,3951
,United States,,247,,28,8,49,13,109,135,125,63,191,40,86,25,147,54,218,140,34,73,108,319,373,142,429,179,9,101,10,11,12,2,2,2,23,34,100,44,332,39,12,7,,37,,45,131,,11,22,111,70,8,20,18,18,19,33,0,24,84,111,69,17,35,4958
,Unknown country,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,423,,133,113,375,55,151,140,129,236,212,57,131,25,150,57,218,236,110,219,181,514,602,256,516,572,553,895,407,367,64,75,92,125,89,137,234,127,742,150,168,90,58,313,248,545,473,239,366,122,626,213,100,81,224,179,189,179,189,318,312,311,223,284,289,16207
