"TIV of arms exports to Canada, 1950-2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generated: 24 July 2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figures are SIPRI Trend Indicator Values (TIVs) expressed in US$ m. at constant (1990) prices.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figures may not add up due to the conventions of rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A '0' indicates that the value of deliveries is less than US$0.5m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"For more information, see http://www.sipri.org/databases/armstransfers/background",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: SIPRI Arms Transfers Database,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Total
,Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1
,Finland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,9,15,6,,,,,,,,,,,,,,,,,36
,France,,,,,,,,,,,5,5,5,5,4,1,,64,,,,,,,,,,,,,,,,,,,,,,,,,2,4,17,16,19,21,6,17,,,,1,,,1,,,,,,,,,,193
,Germany (FRG),,,,,,,,,,,,,,,,,,,,,,,,,,,,,160,143,,,,,,,,,,,18,,,,,,,,,23,38,31,,,,,2,42,0,,,0,,,9,16,482
,Israel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,9
,Italy,,,,,,,,,,,,,,,,,,,,20,,,22,7,,,,,,,,,,,,,,,,,,3,3,,5,,,,,,,25,100,63,,,,,,,,,,,,,246
,Kyrgyzstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,14
,Netherlands,,,,,,,,,,,,,,,,,,,,,,,36,12,,,,,,,,,,,,,,,,,,28,37,18,100,18,23,24,24,,,,,,,,,,22,8,8,20,24,32,82,54,567
,Norway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,22,,,,,,,,,,,,,,,,,,4,,,,,,,,,,47
,South Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,14,,,,,,,,,,14
,Sweden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,15,35,18,18,,,,,,,,,,,,,,,,,,20,15,130
,Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,33,33,30,,,,,,34,25,112,202,183,41,,,20,20,18,46,52,17,17,12,12,12,12,3,,,,,,,2,3,970
,United Kingdom,48,59,52,300,316,33,106,504,65,163,,,33,95,50,75,,75,75,,,,15,5,,,15,15,,25,25,25,24,2,,,,,30,30,10,94,53,2,,25,25,26,,,320,380,280,20,270,16,4,,2,2,11,12,,,,,3812
,United States,557,941,1008,1340,890,937,611,245,187,206,160,1737,1028,912,675,451,273,104,249,485,611,455,309,56,196,223,13,13,13,35,383,395,220,646,646,847,809,764,655,12,19,425,118,109,297,313,306,261,66,104,160,85,30,57,71,96,68,410,360,97,197,319,188,162,194,308,25110
,Unknown country,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,20
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,605,1000,1060,1640,1206,970,718,749,252,368,165,1742,1066,1012,728,527,273,243,324,504,611,455,382,80,196,223,28,28,172,235,441,452,274,647,646,847,809,786,741,67,159,751,405,189,454,390,417,362,129,196,570,538,428,152,352,124,104,456,408,106,236,351,211,194,306,395,31651
