"TIV of arms exports to Egypt, 1950-2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generated: 24 July 2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figures are SIPRI Trend Indicator Values (TIVs) expressed in US$ m. at constant (1990) prices.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figures may not add up due to the conventions of rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A '0' indicates that the value of deliveries is less than US$0.5m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"For more information, see http://www.sipri.org/databases/armstransfers/background",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: SIPRI Arms Transfers Database,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Total
,Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79,,,,,,,,,,,,,,79
,Belgium,,,,,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18
,Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,5,20,17,8,,23,,,,,,,,,,,,,,,,,,,,,,,,,,89
,Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132,,6,2,7,6,3,,8,,,,,,,,,,,,,,,,,,,,,6,2,6,,16,194
,China,,,,,,,,,,,,,,,,,,,,,,,,,,88,,,,200,270,,405,304,578,209,163,28,28,28,28,28,28,36,28,28,,,,,,18,67,88,88,21,,35,35,35,35,,1,1,1,,2899
,Czechoslovakia,0,0,0,1,,2,2,10,9,2,2,2,1,1,1,21,34,47,47,276,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,499
,Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163,150,7,1,1,,,,,,,,,,,,,,,,,,,320
,Finland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,6,6,,68,,,,,,,,,,84
,France,,,,,42,69,,,,,,,,,,,,,,,,,,85,228,226,33,272,89,65,311,107,91,387,189,181,133,348,49,34,33,,,,,,,,1,1,1,,,,,,,,,,,,4,41,17,699,3733
,Germany (FRG),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,16,,,,10,10,10,10,10,11,10,10,10,10,10,10,10,10,12,20,35,131,1,9,9,9,9,9,9,9,9,25,23,26,507
,Italy,41,17,,,,38,,,,,,,,,,,,,,,,,,,,12,13,,,,,35,270,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,6,,8,478
,Libya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,20
,Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,109,,,,,,,,,180
,Netherlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,,,15,208,4,,,,,,,,,42,67,26,,,,,12,,12,412
,North Korea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,17,17,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65
,Poland,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,8,16,11,5,140,,47,,,60,60,60,135,60,60,,8,367,416,68,27,75,30,1656
,Saudi Arabia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
