"TIV of arms exports to Greece, 1950-2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generated: 24 July 2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figures are SIPRI Trend Indicator Values (TIVs) expressed in US$ m. at constant (1990) prices.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figures may not add up due to the conventions of rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A '0' indicates that the value of deliveries is less than US$0.5m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"For more information, see http://www.sipri.org/databases/armstransfers/background",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: SIPRI Arms Transfers Database,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Total
,Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,10,10,,,,6,12,18,20,20,10,17,,,,,,,,,,,,,,,,,,,,,,128
,Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,,,,,,,,48
,Canada,,,,,73,95,,,28,28,,,,,,,,,,,,,,,,,,,,6,,5,5,,8,,,,,,,,,,,,,,,,2,7,9,9,20,20,,,,,,,,,,,315
,Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,,,58,58,,,,,,,,,58,173,,,,,,,,,,,,381
,Finland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,8,,,,,,,,,,,,16
,France,,,,,,,,,,,,,,,,,,6,,,,147,212,13,,70,192,380,609,4,180,179,4,4,,,,,274,365,8,8,272,35,35,8,8,9,6,98,3,74,41,65,50,16,61,879,1,,11,47,18,32,28,42,4491
,Germany (FRG),,,,,,,,,,,10,,,,104,,,47,31,30,173,126,316,,,59,101,126,78,330,182,162,,193,136,50,0,,125,17,72,67,319,301,707,188,251,,526,101,124,,6,166,137,75,487,497,294,285,409,10,10,12,110,563,8114
,Iran,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32
,Israel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,77,8,,,,,,,,,,,120
,Italy,,100,,,,,,,,,,,,,,,8,,,26,29,,,42,,39,,15,57,85,20,82,77,50,64,0,4,5,5,,,,,,,8,,,,,,,,140,16,47,22,79,15,,3,,3,,,,1040
,Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,,,,,7,13,,,,,,,,,,,,,,,,,,,,,,,,,,,68
