"TIV of arms exports to Japan, 1950-2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generated: 24 July 2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figures are SIPRI Trend Indicator Values (TIVs) expressed in US$ m. at constant (1990) prices.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figures may not add up due to the conventions of rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A '0' indicates that the value of deliveries is less than US$0.5m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"For more information, see http://www.sipri.org/databases/armstransfers/background",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: SIPRI Arms Transfers Database,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Total
,Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1
,France,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,7,14,7,,7,7,7,10,7,,7,,7,5,17,15,15,5,5,5,5,5,9,8,9,8,6,1,16,15,0,0,1,0,0,0,0,0,239
,Germany (FRG),,,,,,,,,,,,,,,,1,1,1,1,1,,1,,1,1,1,1,1,1,,,,,,48,40,43,43,43,43,44,33,26,26,24,24,13,10,10,10,,,,,,,,,,2,2,7,9,5,5,5,520
,Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,8,8,8,5,5,3,13,10,8,,72,,39,8,5,8,5,8,3,10,16,10,5,5,,,,,,,,,,263
,Netherlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12
,Sweden,,,,,,,,,,,,,,,10,,10,10,10,15,10,,5,,5,,,5,10,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,10,10,10,10,10,,10,160
,Switzerland,,,,,,,,,,,10,,,,,,11,11,18,18,11,7,7,7,7,18,22,22,18,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,190
,United Kingdom,,,,1,,,,13,,7,11,11,4,,,,,,,,,,,,13,13,20,39,39,39,39,52,61,75,69,78,85,48,75,90,84,53,22,29,9,37,19,19,9,44,32,22,32,44,32,44,47,12,20,23,33,13,8,33,16,13,1624
,United States,,,8,222,304,411,758,1046,1233,661,830,328,219,204,1799,1209,303,598,531,498,637,774,665,633,982,1653,1632,909,1020,944,1010,1282,1392,1618,1932,1847,1764,1854,1875,2137,2543,2849,2450,1997,978,1137,813,786,1443,1204,442,398,426,412,352,414,444,470,659,490,381,263,243,258,458,283,60313
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,,8,223,304,411,758,1059,1233,668,859,338,223,204,1809,1209,324,619,559,531,658,781,677,640,1007,1685,1674,975,1094,997,1062,1342,1462,1707,2063,1982,1904,1949,2002,2282,2688,2948,2520,2139,1026,1242,858,825,1475,1268,491,441,477,480,400,464,511,498,680,525,426,292,270,306,480,310,63322
