"TIV of arms exports to South Korea, 1950-2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generated: 24 July 2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figures are SIPRI Trend Indicator Values (TIVs) expressed in US$ m. at constant (1990) prices.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figures may not add up due to the conventions of rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A '0' indicates that the value of deliveries is less than US$0.5m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"For more information, see http://www.sipri.org/databases/armstransfers/background",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: SIPRI Arms Transfers Database,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Total
,Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22
,Canada,3,,,,,,,,,,,,,,,,4,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,3,12,12,12,9,6,6,3,,,,,,,,,80
,France,,,,,,,,,,,,,,,,,,,,,,,7,,,2,3,3,6,4,8,4,4,,9,,9,1,,,4,,,20,20,20,20,30,128,124,80,80,80,87,80,27,163,186,172,160,2,,2,,,,1544
,Germany (FRG),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,7,6,26,26,20,25,46,32,20,20,174,168,165,273,163,59,173,180,161,19,25,29,30,21,294,378,415,38,70,34,26,319,33,3476
,Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,49,,,,,,,,,,,,,,66
,Israel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,12,19,,100,,,,,,,,,,35,28,24,40,267
,Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,5,5,10,12,17,5,34,24,2,22,114,53,,,45,,,,3,5,5,5,,,,,,,,,,,,,,,,373
,Japan,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,Netherlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,11,33,22,43,49,,10,57,27,,,61,50,38,,7,35,35,35,,,25,25,25,,39,10,,10,,10,,,,668
,Norway,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
,Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,131,14,29,29,,,10,32,86,102,,,,,,,,,,492
,Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,82,,,,,,,,,,,,,,,,,,,,,,98
,Sweden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,12,12,20,,24,29,11,109
,Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14
,United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,20,25,19,110,106,87,95,,2,,5,,68,110,41,,,12,12,,,,,,,,12,12,24,764
,United States,159,256,266,255,158,346,412,236,212,284,255,254,131,203,270,623,564,125,345,292,76,240,366,252,431,619,539,1170,355,1325,877,855,644,428,471,638,744,720,1130,1602,986,784,682,599,698,1732,1624,888,1179,1199,935,463,268,593,873,619,1358,1233,1121,209,1188,1462,985,93,332,138,41371
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,162,256,266,263,158,346,412,236,212,284,255,254,131,203,270,623,569,125,345,292,76,240,373,252,431,634,541,1187,366,1334,911,884,673,485,513,746,852,763,1212,1838,1211,910,790,1010,1018,1957,1976,1226,1428,1645,1396,773,528,752,1059,804,1650,1755,1683,796,1250,1553,1066,182,715,245,49349
