"TIV of arms exports to Kuwait, 1950-2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generated: 24 July 2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figures are SIPRI Trend Indicator Values (TIVs) expressed in US$ m. at constant (1990) prices.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figures may not add up due to the conventions of rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A '0' indicates that the value of deliveries is less than US$0.5m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"For more information, see http://www.sipri.org/databases/armstransfers/background",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: SIPRI Arms Transfers Database,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Total
,Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,0,4,,,,,,,,,,,,,,,,,,34
,Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,11,10,,,,,,,,,,0,,,,13,11,,45
,Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,19,,,,,,,,,,,,6,5,,,,,,,,,,,,,,,,,48
,Canada,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,15,20,21,,,,,,,,,,,,,86
,Egypt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,11,10,,,,,,,,,,,,,,,,,,,,,,,,,,23
,France,,,,,,,,,,,,,,,,,,,8,,,,,,3,72,214,169,,,6,6,28,20,117,218,53,27,0,2,6,16,,,,,,2,13,176,170,,,,,7,,,,2,,,,,,,1333
,Germany (FRG),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132,63,195,,,,0,0,1,,,,3,,,,,8,12,2,3,3,2,,,,,,,,,,,,424
,Italy,,,,,,,,,,,,,,,,,,,4,4,1,,,,,,,,,,,,,,,,,,4,11,11,11,,,,,11,11,,,,,,,,,,,5,5,9,9,9,9,,,113
,Norway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,2
,Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,134,73,96,,,,,,,,,,,,,36,65,,,,,411
,Singapore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,27
,Soviet Union,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,11,,,,34,264,,,,57,188,,,,,,,,,,,,,,,,,,,,,,,,,,565
,Sweden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,26,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52
,Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,50,,,,,,10,,,,,50,,,,,,,,,,,,,,,160
,United Kingdom,,,,0,5,1,,,2,,44,,10,34,46,25,,,92,93,53,53,30,,,,,,160,162,,7,5,41,49,31,68,17,,0,,,,,,102,93,58,,8,32,,,,,,,,,,3,3,,,,,1324
,United States,,,,,,,,,,,,,,,,,,,,,,58,,,2,4,16,321,327,7,19,,,141,64,76,31,6,,,5,41,896,664,18,349,1003,315,19,5,,,,21,,5,5,279,,1,37,36,22,52,681,366,5892
,Yugoslavia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,447,,,,,,,,,,,,,,,,,,,,,,,,,502
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,,,0,5,1,,,2,,44,,10,34,46,25,8,,104,97,54,111,30,,5,76,230,490,487,198,35,13,175,291,494,589,170,50,6,132,325,516,896,694,35,585,1189,482,51,212,245,67,23,45,2,12,5,279,5,9,85,113,31,73,692,366,11048
