"TIV of arms exports to Malaysia, 1950-2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generated: 24 July 2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figures are SIPRI Trend Indicator Values (TIVs) expressed in US$ m. at constant (1990) prices.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figures may not add up due to the conventions of rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A '0' indicates that the value of deliveries is less than US$0.5m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"For more information, see http://www.sipri.org/databases/armstransfers/background",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: SIPRI Arms Transfers Database,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Total
,Australia,,,,,,,,,,,,,,,,,,,,23,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,38
,Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,90,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144
,Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,,,,,,,25,,,,,,51
,Canada,,,,,,,,,,,,,,,,,15,19,19,50,11,,15,,,,,,,,,,1,13,12,,,,,,,,,,,,,,,,,5,,,,,,6,,,,,,,,,168
,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,5
,France,,,,,,,,,,,,,,7,5,,7,,,5,,,59,175,32,,,,,28,,,,,24,5,,5,,,,,,,,,17,1,4,15,1,,,21,19,11,,17,7,302,1,3,45,51,38,,903
,Germany (FRG),,,,,,,,,,,,,,,,,,,,,,,5,14,,,90,45,,12,45,44,81,151,379,1,,,,,,,,2,,3,,20,,36,,0,,,1,1,310,,20,311,310,,,6,7,14,1908
,Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,,,,,,8,8,,,,,,,,,,66
,Italy,,,,,,,,,,,,,,,,,,,,,14,18,14,,,,,,,,,,,31,31,225,,,,,,,,,,,,160,35,165,18,,8,13,19,3,29,,,113,15,,,,,,907
,Netherlands,,,,,,,,,,,,,,,,,,,,,,15,,,,,24,12,,,,,,,30,7,,7,,,,,,,,,,,,18,,,,,,,,,,,,,,3,3,,117
,New Zealand,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,8,,,,,,,,,,,,,16
,Poland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,73,58,19,,,,,,173
,Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,551,,,,14,,1,46,16,,,,407,408,407,,,2,12,,,1862
,Singapore,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,South Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,12,,,,,,,,,,,,,,22
,South Korea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,33,,,,,,,11,,17,,,,,,,,,,,,,,4,,,,,,,97
,Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,299,,,,,,146,445
,Sweden,,,,,,,,,,,,,,,,,,,,,,,2,7,,,9,5,,208,,,,,12,3,3,5,,7,,,,,,,,,,15,8,,,,,,,,,,,,,,,,282
,Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,22,20,,,,12,20,,,,,,0,0,0,0,0,,9,,,,,,10,,,,,,,,,97
,Turkey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,42,13,,,,,,32,,,,16,26,155
,UAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1
,Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,25
,United Kingdom,,,,,,,,,13,18,5,1,31,68,92,10,36,107,11,,,86,9,,,,,36,4,4,,,,38,2,0,,,2,11,,5,13,,257,71,16,36,0,398,,,20,16,3,32,37,50,,3,8,,,,,,1548
,United States,,,,,,,,,,,,1,,,,,,,60,,,61,10,10,18,81,268,48,65,62,84,53,,20,4,132,95,,,,,29,,,51,181,,338,,11,,,9,31,10,2,14,14,,10,12,2,,0,10,4,1801
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,,,,,,,,13,18,5,2,31,75,97,10,58,127,90,78,25,195,113,206,50,81,391,146,72,314,129,97,84,326,604,408,130,17,14,38,,34,13,13,308,848,33,555,39,720,26,26,154,147,65,57,398,526,508,1512,421,5,47,71,73,190,10832
