"TIV of arms exports to Morocco, 1950-2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generated: 24 July 2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figures are SIPRI Trend Indicator Values (TIVs) expressed in US$ m. at constant (1990) prices.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figures may not add up due to the conventions of rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A '0' indicates that the value of deliveries is less than US$0.5m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"For more information, see http://www.sipri.org/databases/armstransfers/background",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: SIPRI Arms Transfers Database,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Total
,Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85
,Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,120,,,,,,,,,,,,,,,,172
,Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,36,,,,,,,55
,Canada,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2,,,,32
,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221,34,34,,,,289
,Czechoslovakia,,,,,,,,,,,,,,,,,,,7,7,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21
,Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,18,,36,,,,,,,,,,,,,,,,,,,,,,,,,,71
,Egypt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15
,Finland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,4
,France,,,,,,,28,12,10,13,20,10,10,14,18,36,16,26,41,5,24,,,3,55,82,81,115,240,519,273,156,210,85,44,23,13,12,20,,10,19,17,,,30,60,88,,,,5,156,,,,,,,,10,718,35,24,533,,3918
,Germany (FRG),,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,9,9,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,42
,Iran,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19
,Iraq,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
,Israel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,14,,,,,,,,,,,,,,,,,,,12,14,14,,,,,,,,,,,69
,Italy,,,,,,,,,,,,,,,,,,,,26,26,0,,,36,32,35,21,6,60,30,5,50,10,,,,,,,,,,,,,,,,,,,,,,,,,,,32,43,13,8,10,,442
,Libya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15
,Netherlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,14,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,149,312,,,,508
,Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,69,27,27,27,,,,,,,,156
,Saudi Arabia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,14
,South Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77
,Soviet Union,,,,,,,,,,,,27,57,,,,,52,52,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189
,Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118,118,100,,,,,35,70,57,,,,,,,,,,,,,,,,,,,,,,,,,,500
,Sweden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,19
,Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,10
,United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18
,United States,,,,,,,,,,,,,22,,0,45,135,87,5,,,1,,,107,92,100,253,162,97,71,415,108,142,,,18,2,36,55,33,43,,86,117,,34,137,,8,4,,,,,,20,,,3,33,439,430,51,21,42,3453
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,,,,,,28,12,10,13,24,37,88,14,18,81,151,165,105,38,77,1,,21,198,206,216,408,419,723,453,770,509,379,59,38,31,32,109,125,135,62,17,100,117,30,94,225,,60,125,11,156,12,14,101,47,27,46,39,306,1398,826,82,572,42,10201
