"TIV of arms exports to Netherlands, 1950-2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generated: 24 July 2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figures are SIPRI Trend Indicator Values (TIVs) expressed in US$ m. at constant (1990) prices.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figures may not add up due to the conventions of rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A '0' indicates that the value of deliveries is less than US$0.5m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"For more information, see http://www.sipri.org/databases/armstransfers/background",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: SIPRI Arms Transfers Database,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Total
,Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,4,7,,,,,,,17
,Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
,Canada,,,,,,,3,,,,,41,,,,,,,,,,,,,,,,,5,5,10,10,10,10,,,,,,6,,,,,,12,38,2,,,,,,,,,,,,,,,,,,,152
,Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,,,4
,Finland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,8,4,8,4,,,17,18,,,4,4,4,4,,8,,,,,,,,,91
,France,,,,,,,2,2,2,6,40,83,83,112,88,42,23,18,9,56,81,81,40,,,,13,,3,11,8,5,,23,30,8,23,15,,15,10,,10,10,10,,65,59,,3,3,,,,,15,15,15,15,8,23,11,14,16,,11,1229
,Germany (FRG),,,,,,,,,,,,,,,,,,,,252,298,302,298,,,14,22,120,120,140,,14,313,313,316,335,335,22,22,11,,6,14,23,20,6,,,,,,,25,63,15,15,50,94,50,83,14,23,18,22,3,7,3794
,Israel,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,54,22,16,15,12,,,,,119
,Italy,,,,,,,45,,,,,,4,13,,,,,,,,,,,,,,,8,8,8,8,5,5,3,3,,,,,,5,3,10,15,3,,,,,,,3,3,3,3,,,,,40,27,27,54,7,62,371
,Norway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,,,,,,1,34
,Romania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,108,108,,,235
,Sweden,,,,124,20,60,60,80,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,41,54,54,63,63,61,,,,712
,Switzerland,,,,,,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,3,,,,,,,,,,,,,,,,,,,48
,UAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,2
,United Kingdom,96,123,123,343,340,467,629,304,242,83,47,,,,12,,,626,129,6,9,9,3,,,15,15,15,23,75,90,64,27,33,,,30,,,,0,22,10,20,20,13,3,,,,,,10,10,10,10,1,,,,,,,,,,4104
,United States,58,317,268,508,434,219,432,309,203,57,207,183,281,552,810,703,166,87,129,236,303,297,316,21,40,67,217,444,548,543,510,662,893,978,848,556,427,595,361,667,269,273,196,69,130,32,99,61,254,243,122,178,202,45,95,55,237,28,12,88,38,13,148,130,,6,18470
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,154,440,391,975,794,746,1171,695,467,146,294,306,368,711,910,745,189,731,266,549,690,689,656,21,40,96,266,579,706,782,626,762,1248,1361,1203,901,815,632,383,709,279,314,239,135,203,71,205,126,271,284,125,178,244,125,127,102,320,240,157,288,193,149,376,332,10,86,29389
