"TIV of arms exports to Sweden, 1950-2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generated: 24 July 2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figures are SIPRI Trend Indicator Values (TIVs) expressed in US$ m. at constant (1990) prices.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figures may not add up due to the conventions of rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A '0' indicates that the value of deliveries is less than US$0.5m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"For more information, see http://www.sipri.org/databases/armstransfers/background",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: SIPRI Arms Transfers Database,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Total
,Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,6
,Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7,,,,,,,,,,,,,0,,,,,,,,,,,,,7
,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,20,40,,10,,,,,,,,80
,Denmark,,,,,,,,,,,,,,,,,,3,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,1,,,,,,,,15
,Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,8
,Finland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,5,,,,,,,,15,15,18,11,,,,,,,,,13,20,,97
,France,,,,63,75,63,30,34,36,33,3,3,10,8,4,3,59,69,71,19,11,,,,,,,,,,,,3,,15,3,28,20,47,29,31,3,9,,7,7,,,,0,0,,,,,,,,,,,28,,7,21,21,870
,Germany (FRG),,,,,,,,,,,,,1,,,,75,75,,,,,,85,128,170,128,,,,,,,,,3,8,19,,,1,1,1,1,237,35,35,126,142,157,134,117,32,14,,,3,,1,40,40,8,8,,,15,1837
,Iceland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,5
,Israel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,2,7,,,,,,,14
,Italy,,,,,,,,,,,,,13,19,8,,10,14,14,14,29,33,,15,5,5,5,,,,,,,,,,,,10,10,,1,,5,20,,,,,,,,,,,,6,13,10,3,,,,,,,261
,Japan,,,,,,,,,,,,,,,,,,,,,,,8,34,25,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84
,Netherlands,,,,,,2,2,,17,3,,,15,2,13,2,18,18,2,,,6,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,106
,Norway,,,,,,,,,,,,,,,,,,,,,,,31,,,,,,93,161,130,192,68,,,7,,,,,5,13,15,6,6,,,,,,,,,,,,,,,,5,,,2,1,3,736
,Singapore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,13
,South Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,10,2,12,,,,7,14,,,47
,Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,20
,Switzerland,,,,,,,,,,,,,,,,,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,,,2,,,,,,,,,,,,,,39
,United Kingdom,225,291,303,328,379,495,542,185,181,149,106,53,82,228,314,252,76,53,39,32,32,37,52,22,23,14,,,,,38,53,55,57,59,18,18,18,18,,,,20,,,,,,,,,,,,,,,,,2,6,6,6,,,,4867
,United States,,8,15,,,,,11,13,15,11,1,11,51,70,29,25,77,95,70,35,10,70,75,75,103,75,100,105,86,78,207,45,122,33,37,85,102,49,51,42,31,15,17,26,53,52,69,150,65,68,33,26,26,26,58,56,24,9,2,,150,185,16,1,5,3247
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,225,299,317,390,454,559,574,230,246,199,120,57,130,307,410,286,280,326,226,138,108,86,161,231,256,292,214,100,197,247,246,452,171,179,106,85,154,159,125,103,90,49,60,39,297,95,95,195,294,224,204,165,75,64,47,78,122,41,44,54,51,191,206,52,43,43,12360
