"TIV of arms exports to Yugoslavia, 1950-2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generated: 24 July 2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figures are SIPRI Trend Indicator Values (TIVs) expressed in US$ m. at constant (1990) prices.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figures may not add up due to the conventions of rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A '0' indicates that the value of deliveries is less than US$0.5m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"For more information, see http://www.sipri.org/databases/armstransfers/background",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: SIPRI Arms Transfers Database,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Total
,Austria,,,,,,,,,,,,,,,0,0,1,1,1,1,1,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
,Canada,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
,Czechoslovakia,,,,,,,,,,,,,,,,,,,,62,65,65,65,65,65,65,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,513
,France,,,,,,,17,35,,,12,,,,,,,,,,,,17,2,6,13,14,14,14,14,14,14,22,13,14,14,14,14,18,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,295
,Germany (FRG),,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,4,4,2,,,,1,2,2,2,2,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,26
,Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1
,Romania,,,,,,,,,,,,,,,,,,,,,,,9,9,,,,,,,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28
,Soviet Union,,,,,,,,,,,71,111,394,616,448,528,529,686,675,518,485,417,233,83,81,480,438,556,350,712,452,413,596,503,197,311,304,286,666,275,230,111,,,,,,,,,,,,,,,,,,,,,,,,,12753
,Sweden,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,14,14,7,,,10,,,,3,3,28,28,,,,,,,,,,,,,,,,,,,,,,,,,,113
,United Kingdom,,119,116,,3,,74,,,3,5,4,2,9,15,21,14,6,6,6,4,4,4,4,4,4,9,12,15,15,12,8,12,20,24,28,24,24,24,24,20,12,2,,,,,,,,,,,,,,,,,,,,,,,,712
,United States,,63,374,525,531,334,231,331,112,177,171,61,,,,,,,,,,,,,,3,3,,,,,,,30,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2994
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,182,490,525,534,334,322,366,112,180,259,175,397,624,463,549,544,693,681,586,554,486,328,163,156,565,526,591,397,760,492,440,631,576,284,354,343,328,712,331,280,124,2,,,,,,,,,,,,,,,,,,,,,,,,17441
