name;sipri;alpha-3
ANC (South Africa)*;XSA;
Afghanistan;AFG;AFG
African Union**;AU;
Albania;ALB;ALB
Algeria;ALG;DZA
Amal (Lebanon)*;XLA;
Angola;ANG;AGO
Anti-Castro rebels (Cuba)*;XCC;
Argentina;ARG;ARG
Armas (Guatemala)*;XGC;
Armenia;ARM;ARM
Aruba;ABW;ABW
Australia;AUS;AUS
Austria;AST;AUT
Azerbaijan;AZB;AZE
Bahamas;BAS;BHS
Bahrain;BAH;BHR
Bangladesh;BAN;BGD
Barbados;BAR;BRB
Belarus;BLR;BLR
Belgium;BEL;BEL
Belize;BLZ;BLZ
Benin;BEN;BEN
Bhutan;BHU;BTN
Biafra;BIA;NGA
Bolivia;BOL;BOL
Bosnia-Herzegovina;BOS;BIH
Botswana;BOT;BWA
Brazil;BRA;BRA
Brunei;BRU;BRN
Bulgaria;BUL;BGR
Burkina Faso;BF;BFA
Burundi;BDI;BDI
Cambodia;CMB;KHM
Cameroon;CAM;CMR
Canada;CAN;CAN
Cape Verde;CAP;CPV
Central African Republic;CAR;CAF
Chad;CHA;TCD
Chile;CHE;CHL
China;CHI;CHN
Colombia;COL;COL
Comoros;COM;COM
Congo;CON;COG
Contras (Nicaragua)*;XNC;
Costa Rica;COS;CRI
Cote d'Ivoire;IVO;CIV
Croatia;CRO;HRV
Cuba;CUB;CUB
Cyprus;CYP;CYP
Czech Republic;CZR;CZE
Czechoslovakia;CZE;
DR Congo;DRC;COD
Denmark;DEN;DNK
Djibouti;DJI;DJI
Dominican Republic;DOM;DOM
ELF (Ethiopia)*;XEE;
EPLF (Ethiopia)*;XEP;
East Germany (GDR);GDR;DEU
Ecuador;ECU;ECU
Egypt;EGY;EGY
El Salvador;SAL;SLV
Equatorial Guinea;EQU;GNQ
Eritrea;ERI;ERI
Estonia;EST;EST
Ethiopia;ETH;ETH
FAN (Chad)*;XCF;
FMLN (El Salvador)*;XSF;
FNLA (Angola)*;XAF;
FRELIMO (Portugal)*;XPR;
Fiji;FJI;FJI
Finland;FIN;FIN
France;FRA;FRA
GUNT (Chad)*;XCG;
Gabon;GAB;GAB
Gambia;GAM;GMB
Georgia;GEO;GEO
Germany (FRG);FRG;DEU
Ghana;GHA;GHA
Greece;GRE;GRC
Grenada;GND;GRD
Guatemala;GUA;GTM
Guinea;GUI;GIN
Guinea-Bissau;GBI;GNB
Guyana;GUY;GUY
Haiti;HAI;HTI
Haiti rebels*;XHB;
Hamas (Palestine)*;XPA;
Hezbollah (Lebanon)*;XLH;
Honduras;HON;HND
Hungary;HUN;HUN
Iceland;ICE;ISL
India;IND;IND
Indonesia;INS;IDN
Indonesia rebels*;XIR;
Iran;IRA;IRN
Iraq;IRQ;IRQ
Ireland;IRE;IRL
Israel;ISR;ISR
Italy;ITA;ITA
Jamaica;JAM;JAM
Japan;JAP;JPN
Jordan;JOR;JOR
Katanga;KAT;
Kazakhstan;KAZ;KAZ
Kenya;KEN;KEN
Khmer Rouge (Cambodia)*;XCR;
Kiribati;KIR;KIR
Kosovo;KSV;UNK
Kuwait;KUW;KWT
Kyrgyzstan;KYR;KGZ
LF (Lebanon)*;XLL;
LRA (Uganda)*;XUL;
LTTE (Sri Lanka)*;XSL;
Laos;LAO;LAO
Latvia;LAT;LVA
Lebanon;LEB;LBN
Lebanon Palestinian rebels*;XLP;
Lesotho;LES;LSO
Liberia;LIB;LBR
Libya;LYA;LBY
Lithuania;LIT;LTU
Luxembourg;LUX;LUX
MNLF (Philippines)*;XPQ;
MPLA (Portugal)*;XPM;
MTA (Myanmar)*;XMX;
Macedonia (FYROM);MAC;MAC
Madagascar;MAD;MDG
Malawi;MWI;MWI
Malaysia;MAL;MYS
Maldives;MLV;MDV
Mali;MLI;MLI
Malta;MTA;MLT
Marshall Islands;MAR;MHL
Mauritania;MRA;MRT
Mauritius;MAU;MUS
Mexico;MEX;MEX
Micronesia;MIC;FSM
Moldova;MOL;MDA
Mongolia;MON;MNG
Montenegro;MNE;MNE
Morocco;MOR;MAR
Mozambique;MOZ;MOZ
