;0;;;;;;;;;;;;;
ANC (South Africa)*;XSA;#N/A;#N/A;;;;;ABW;Aruba ;ABW;Aruba;ABW;Aruba;ABW
Afghanistan;AFG;AFG;AFG;AFG;;;;AFG;Afghanistan ;AFG;Afghanistan;AFG;Afghanistan;AFG
African Union**;AU;#N/A;#N/A;;;;;AGO;Angola ;AGO;Angola;AGO;Angola;AGO
Albania;ALB;ALB;ALB;ALB;;;;AIA;Anguilla ;AIA;Anguilla;AIA;Anguilla;AIA
Algeria;ALG;#N/A;DZA;DZA;;;;ALA;Åland Islands ;ALA;Åland Islands;ALA;Åland Islands;ALA
Amal (Lebanon)*;XLA;#N/A;#N/A;;;;;ALB;Albania ;ALB;Albania;ALB;Albania;ALB
Angola;ANG;#N/A;AGO;AGO;;;;AND;Andorra ;AND;Andorra;AND;Andorra;AND
Anti-Castro rebels (Cuba)*;XCC;#N/A;#N/A;;;;;ANT;Netherlands Antilles ;ANT;Netherlands Antilles;ANT;Netherlands Antilles;ANT
Argentina;ARG;ARG;ARG;ARG;;;;ARE;United Arab Emirates ;ARE;United Arab Emirates;ARE;United Arab Emirates;ARE
Armas (Guatemala)*;XGC;#N/A;#N/A;;;;;ARG;Argentina ;ARG;Argentina;ARG;Argentina;ARG
Armenia;ARM;ARM;ARM;ARM;;;;ARM;Armenia ;ARM;Armenia;ARM;Armenia;ARM
Aruba;ABW;ABW;ABW;ABW;;;;ASM;American Samoa ;ASM;American Samoa;ASM;American Samoa;ASM
Australia;AUS;AUS;AUS;AUS;;;;ATA;Antarctica ;ATA;Antarctica;ATA;Antarctica;ATA
Austria;AST;#N/A;AUT;AUT;;;;ATF;French Southern Territories ;ATF;French Southern Territories;ATF;French Southern Territories;ATF
Azerbaijan;AZB;#N/A;AZE;AZE;;;;ATG;Antigua and Barbuda ;ATG;Antigua and Barbuda;ATG;Antigua and Barbuda;ATG
Bahamas;BAS;#N/A;BHS;BHS;;;;AUS;Australia ;AUS;Australia;AUS;Australia;AUS
Bahrain;BAH;#N/A;BHR;BHR;;;;AUT;Austria ;AUT;Austria;AUT;Austria;AUT
Bangladesh;BAN;#N/A;BGD;BGD;;;;AZE;Azerbaijan ;AZE;Azerbaijan;AZE;Azerbaijan;AZE
Barbados;BAR;#N/A;BRB;BRB;;;;BDI;Burundi ;BDI;Burundi;BDI;Burundi;BDI
Belarus;BLR;BLR;BLR;BLR;;;;BEL;Belgium ;BEL;Belgium;BEL;Belgium;BEL
Belgium;BEL;BEL;BEL;BEL;;;;BEN;Benin ;BEN;Benin;BEN;Benin;BEN
Belize;BLZ;BLZ;BLZ;BLZ;;;;BFA;Burkina Faso ;BFA;Burkina Faso;BFA;Burkina Faso;BFA
Benin;BEN;BEN;BEN;BEN;;;;BGD;Bangladesh ;BGD;Bangladesh;BGD;Bangladesh;BGD
Bhutan;BHU;#N/A;BTN;BTN;;;;BGR;Bulgaria ;BGR;Bulgaria;BGR;Bulgaria;BGR
Biafra;BIA;#N/A;#N/A;;;;;BHR;Bahrain ;BHR;Bahrain;BHR;Bahrain;BHR
Bolivia;BOL;BOL;#N/A;BOL;;;;BHS;Bahamas ;BHS;Bahamas;BHS;Bahamas;BHS
Bosnia-Herzegovina;BOS;#N/A;#N/A;BIH;;;;BIH;Bosnia and Herzegovina ;BIH;Bosnia and Herzegovina;BIH;Bosnia and Herzegovina;BIH
Botswana;BOT;#N/A;BWA;BWA;;;;BLM;Saint Barthélemy ;BLM;Saint Barthélemy;BLM;Saint Barthélemy;BLM
Brazil;BRA;BRA;BRA;BRA;;;;BLR;Belarus ;BLR;Belarus;BLR;Belarus;BLR
Brunei;BRU;#N/A;#N/A;BRN;;;;BLZ;Belize ;BLZ;Belize;BLZ;Belize;BLZ
Bulgaria;BUL;#N/A;BGR;BGR;;;;BMU;Bermuda ;BMU;Bermuda;BMU;Bermuda;BMU
Burkina Faso;BF;#N/A;BFA;BFA;;;;BOL;Bolivia, Plurinational State of ;BOL;Bolivia, Plurinational State of;BOL;Bolivia, Plurinational State of;BOL
Burundi;BDI;BDI;BDI;BDI;;;;BRA;Brazil ;BRA;Brazil;BRA;Brazil;BRA
Cambodia;CMB;#N/A;KHM;KHM;;;;BRB;Barbados ;BRB;Barbados;BRB;Barbados;BRB
Cameroon;CAM;#N/A;CMR;CMR;;;;BRN;Brunei Darussalam ;BRN;Brunei Darussalam;BRN;Brunei Darussalam;BRN
Canada;CAN;CAN;CAN;CAN;;;;BTN;Bhutan ;BTN;Bhutan;BTN;Bhutan;BTN
Cape Verde;CAP;#N/A;CPV;CPV;;;;BVT;Bouvet Island ;BVT;Bouvet Island;BVT;Bouvet Island;BVT
Central African Republic;CAR;#N/A;CAF;CAF;;;;BWA;Botswana ;BWA;Botswana;BWA;Botswana;BWA
Chad;CHA;#N/A;TCD;TCD;;;;CAF;Central African Republic ;CAF;Central African Republic;CAF;Central African Republic;CAF
Chile;CHE;CHE;CHL;CHL;;;;CAN;Canada ;CAN;Canada;CAN;Canada;CAN
China;CHI;#N/A;CHN;CHN;;;;CCK;Cocos (Keeling) Islands ;CCK;Cocos (Keeling) Islands;CCK;Cocos (Keeling) Islands;CCK
Colombia;COL;COL;COL;COL;;;;CHE;Switzerland ;CHE;Switzerland;CHE;Switzerland;CHE
Comoros;COM;COM;COM;COM;;;;CHL;Chile ;CHL;Chile;CHL;Chile;CHL
Congo;CON;#N/A;COG;COG;;;;CHN;China ;CHN;China;CHN;China;CHN
Contras (Nicaragua)*;XNC;#N/A;#N/A;;;;;CIV;Côte d'Ivoire ;CIV;Côte d'Ivoire;CIV;Côte d'Ivoire;CIV
Costa Rica;COS;#N/A;CRI;CRI;;;;CMR;Cameroon ;CMR;Cameroon;CMR;Cameroon;CMR
Cote d'Ivoire;IVO;#N/A;#N/A;CIV;;;;COD;Congo, the Democratic Republic of the ;COD;Congo, the Democratic Republic of the;COD;Congo, the Democratic Republic of the;COD
Croatia;CRO;#N/A;HRV;HRV;;;;COG;Congo ;COG;Congo;COG;Congo;COG
Cuba;CUB;CUB;CUB;CUB;;;;COK;Cook Islands ;COK;Cook Islands;COK;Cook Islands;COK
Cyprus;CYP;CYP;CYP;CYP;;;;COL;Colombia ;COL;Colombia;COL;Colombia;COL
Czech Republic;CZR;#N/A;CZE;CZE;;;;COM;Comoros ;COM;Comoros;COM;Comoros;COM
Czechoslovakia;CZE;CZE;#N/A;CZE;;;;CPV;Cape Verde ;CPV;Cape Verde;CPV;Cape Verde;CPV
DR Congo;DRC;#N/A;#N/A;COD;;;;CRI;Costa Rica ;CRI;Costa Rica;CRI;Costa Rica;CRI
Denmark;DEN;#N/A;DNK;CNK;;;;CUB;Cuba ;CUB;Cuba;CUB;Cuba;CUB
Djibouti;DJI;DJI;DJI;DJI;;;;CXR;Christmas Island ;CXR;Christmas Island;CXR;Christmas Island;CXR
Dominican Republic;DOM;DOM;DOM;DOM;;;;CYM;Cayman Islands ;CYM;Cayman Islands;CYM;Cayman Islands;CYM
ELF (Ethiopia)*;XEE;#N/A;#N/A;;;;;CYP;Cyprus ;CYP;Cyprus;CYP;Cyprus;CYP
